ID,ProjectName,Watershed,Season,Elevation,Year,Month,Plot,Horizon,Weight_g,Dried,DriedMethod,RootPicked,RootSize_mm,Archived_g,Weight_g_14C,Label_14C,Measured_%_C,Measured_%_N,F14C,al_pyr_mg_g,fe_pyr_mg_g,al_ox_mg_g,fe_ox_mg_g,Plot_1_Horizons,Plot_1_HorizonLength,Plot_2_Horizon,Plot_2_HorizonLength,Plot_3_Horizon,Plot_3_HorizonLength,Plot_4_Horizon,Plot_4_HorizonLength,Plot_5_Horizon,Plot_5_HorizonLength,Plot_6_Horizon,Plot_6_HorizonLength,Notes
HBB_001,HubbardBearBrook,W6,Summer,Low,2010,6,LT168,Oi/Oe,22.35,Yes,DegreeC60_48h,Yes,all,12.58,0.4622,#001,37.75,2,1.1117,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_002,HubbardBearBrook,W6,Summer,Low,2010,6,LT162,Oa/A,52.15,Yes,DegreeC60_48h,Yes,all,38.67,0.4555,#002,13.98,0.75,1.0887,0.824,2.058,1.089,3.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_003,HubbardBearBrook,W6,Summer,Low,2010,6,LT162,Oi/Oe,40.62,Yes,DegreeC60_48h,Yes,all,28.39,0.4542,#003,26.27,1.39,1.1649,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_004,HubbardBearBrook,W6,Summer,Low,2010,6,LT174,Oa/A,32.37,Yes,DegreeC60_48h,Yes,all,,0.4553,#004,41.89,1.76,1.0154,2.297,1.431,2.191,1.981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_005,HubbardBearBrook,W6,Summer,Low,2010,6,LT168,Oa/A,75.05,Yes,DegreeC60_48h,Yes,all,,0.5077,#005,21.1,1.1,1.0696,1.330,2.445,1.473,3.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_006,HubbardBearBrook,W6,Summer,Low,2010,6,LT174,Oi/Oe,32.36,Yes,DegreeC60_48h,Yes,all,22.64,0.4589,#006,44.75,2.29,1.1205,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Length
HBB_007,HubbardBearBrook,W6,Summer,Low,2010,6,LT163,Oi/Oe,27.65,Yes,DegreeC60_48h,Yes,all,18.42,0.4568,#007,47.26,2.26,1.143,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_008,HubbardBearBrook,W6,Summer,Low,2010,6,LT162,Mineral_0_10,98.3,Yes,DegreeC60_48h,Yes,<2,77.66,0.5601,#008,5.53,0.3,1.0164,1.933,6.422,2.491,9.493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_009,HubbardBearBrook,W6,Summer,Low,2010,6,LT172,Oi/Oe,30.37,Yes,DegreeC60_48h,Yes,all,21.39,0.4628,#009,36.01,1.88,1.1398,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_010,HubbardBearBrook,W6,Summer,Low,2010,6,LT163,Mineral_0_10,85.43,Yes,DegreeC60_48h,Yes,<2,62.8,0.5021,#010,2.78,0.12,0.9807,0.529,0.858,1.026,4.750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_011,HubbardBearBrook,W6,Summer,Low,2010,6,LT172,Oa/A,34.36,Yes,DegreeC60_48h,Yes,all,,,,,,,4.005,1.735,4.174,2.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_012,HubbardBearBrook,W6,Summer,Low,2010,6,LT168,Mineral_0_10,92.54,Yes,DegreeC60_48h,Yes,<2,53.29,0.4811,#012,4.69,0.24,1.0145,3.773,8.766,5.507,13.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Run duplicates (HBB_012_a & HBB_012_b) grinded with clean sand only; HBB_012 grinded with playground sand only
HBB_012a,HubbardBearBrook,W6,Summer,Low,2010,6,LT168,Mineral_0_10,92.54,Yes,DegreeC60_48h,Yes,<2,53.29,0.4791,#032,4.8,0.25,1.0313,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Run duplicates (HBB_012_a & HBB_012_b) grinded with clean sand only; HBB_012 grinded with playground sand only
HBB_012b,HubbardBearBrook,W6,Summer,Low,2010,6,LT168,Mineral_0_10,92.54,Yes,DegreeC60_48h,Yes,<2,53.29,,,4.56,0.23,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Run duplicates (HBB_012_a & HBB_012_b) grinded with clean sand only; HBB_012 grinded with playground sand only
HBB_013,HubbardBearBrook,W6,Summer,Low,2010,6,LT174,Mineral_0_10,93.27,Yes,DegreeC60_48h,Yes,<2,64.82,0.4998,#013,3.37,0.17,0.9752,1.369,6.120,2.144,9.580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_014,HubbardBearBrook,W6,Summer,Low,2010,6,LT172,Mineral_0_10,112.44,Yes,DegreeC60_48h,Yes,<2,92.61,0.5004,#014,5.17,0.29,1.0122,3.236,9.094,3.897,11.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_015,HubbardBearBrook,W6,Summer,Low,2010,6,LT163,Oa/A,36,Yes,DegreeC60_48h,Yes,all,,,,,,,1.546,1.306,0.535,2.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_016,HubbardBearBrook,W6,Summer,Low,2018,7,LT174,Oa/A,12.63,Yes,DegreeC60_48h,Yes,all,,0.4697,#016,38.18,1.84,1.0378,2.971,1.195,2.971,1.984,Oa,2,Oa,5,Oa,5,Oa,3,NA,NA,NA,NA,
HBB_017,HubbardBearBrook,W6,Summer,Low,2018,7,LT163,Oi/Oe,23.5,Yes,DegreeC60_48h,Yes,all,17.04,0.4584,#017,27.11,0.85,1.0341,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_018,HubbardBearBrook,W6,Summer,Low,2018,7,LT162,Oa/A,39.72,Yes,DegreeC60_48h,Yes,all,,0.4689,#018,25.58,1.12,1.0146,1.290,1.695,1.299,2.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_019,HubbardBearBrook,W6,Summer,Low,2018,7,LT172,Oi/Oe,16.8,Yes,DegreeC60_48h,Yes,all,10.3,0.4562,#019,42.28,1.9,1.1134,,,,,Oi/Oe,2,Oi/Oe,6,Oi/Oe,4,Oi/Oe,4,Oi/Oe,3,NA,NA,
HBB_020,HubbardBearBrook,W6,Summer,Low,2018,7,LT174,Oi/Oe,14.06,Yes,DegreeC60_48h,Yes,all,7.2,0.4635,#020,43.08,2.27,1.1037,,,,,Oi/Oe,6,Oi/Oe,5,Oi/Oe,5,Oi/Oe,3,NA,NA,NA,NA,
HBB_021,HubbardBearBrook,W6,Summer,Low,2018,7,LT162,Oi/Oe,30.87,Yes,DegreeC60_48h,Yes,all,23.93,0.4591,#021,27.11,1.21,1.0745,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_022,HubbardBearBrook,W6,Summer,Low,2018,7,LT163,Mineral_0_10,50.38,Yes,DegreeC60_48h,Yes,<2,37.63,0.4957,#022,4.74,0.23,0.9953,2.103,4.004,2.668,7.080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_023,HubbardBearBrook,W6,Summer,Low,2018,7,LT172,Mineral_0_10,77.58,Yes,DegreeC60_48h,Yes,<2,63.02,0.5735,#023,4.24,0.24,0.9985,2.395,8.527,3.439,10.555,E,3.5,E,1,B,3,NA,0,B,7,NA,NA,
HBB_024,HubbardBearBrook,W6,Summer,Low,2018,7,LT163,Oa/A,28.72,Yes,DegreeC60_48h,Yes,all,,0.4581,#024,27.77,0.95,1.0274,1.188,1.213,1.253,2.380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_025,HubbardBearBrook,W6,Summer,Low,2018,7,LT172,Oa/A,26.4,Yes,DegreeC60_48h,Yes,all,,,,,,,2.517,1.733,2.765,2.963,Oa,2,Oa,3,A,2,NA,0,A,2,NA,NA,
HBB_026,HubbardBearBrook,W6,Summer,Low,2018,7,LT174,Mineral_0_10,27.91,Yes,DegreeC60_48h,Yes,<2,16.48,0.4995,#026,4.79,0.22,0.9656,1.986,5.165,2.490,6.488,NA,0,E,2,NA,0,E/B,5.5,NA,NA,NA,NA,
HBB_027,HubbardBearBrook,W6,Summer,Low,2018,7,LT168,Mineral_0_10,14.95,Yes,DegreeC60_48h,Yes,<2,5.17,0.4967,#027,4.61,0.25,0.9845,0.819,0.739,1.486,4.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_028,HubbardBearBrook,W6,Summer,Low,2018,7,LT162,Mineral_0_10,57.89,Yes,DegreeC60_48h,Yes,<2,42.89,0.4903,#028,5.56,0.23,0.9789,1.153,2.380,1.470,4.343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_029,HubbardBearBrook,W6,Summer,Low,2018,7,LT168,Oi/Oe,12.32,Yes,DegreeC60_48h,Yes,all,5.54,0.4681,#029,37.74,2.2,1.0776,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_030,HubbardBearBrook,W6,Summer,Low,2018,7,LT168,Oa/A,22.48,Yes,DegreeC60_48h,No,all,,,,,,,2.100,2.380,2.254,3.160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HBB_031,HubbardBearBrook,W6,Summer,Low,2020,7,LT172,Oi/Oe,16.6,Yes,DegreeC60_48h,No,all,16.6,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not planning to measure samples from 2020; too few samples due to Covid
HBB_032,HubbardBearBrook,W6,Summer,Low,2020,7,LT174,Oa/A,50.5,Yes,DegreeC60_48h,No,all,50.5,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not planning to measure samples from 2020; too few samples due to Covid
HBB_033,HubbardBearBrook,W6,Summer,Low,2020,7,LT162,Oi/Oe,24.01,Yes,DegreeC60_48h,No,all,24.01,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not planning to measure samples from 2020; too few samples due to Covid
HBB_034,HubbardBearBrook,W6,Summer,Low,2020,7,LT174,Mineral_0_10,70.46,Yes,DegreeC60_48h,No,<2,70.46,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not planning to measure samples from 2020; too few samples due to Covid
HBB_035,HubbardBearBrook,W6,Summer,Low,2020,7,LT174,Oi/Oe,24.61,Yes,DegreeC60_48h,No,all,24.61,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not planning to measure samples from 2020; too few samples due to Covid
HBB_036,HubbardBearBrook,W6,Summer,Low,2020,7,LT162,Mineral_0_10,65.67,Yes,DegreeC60_48h,No,<2,65.67,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not planning to measure samples from 2020; too few samples due to Covid
HBB_037,HubbardBearBrook,W6,Summer,Low,2020,7,LT172,Mineral_0_10,67.56,Yes,DegreeC60_48h,No,<2,67.56,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not planning to measure samples from 2020; too few samples due to Covid
HBB_038,HubbardBearBrook,W6,Summer,Low,2020,7,LT172,Oa/A,30.61,Yes,DegreeC60_48h,No,all,30.61,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not planning to measure samples from 2020; too few samples due to Covid
HBB_039,HubbardBearBrook,W6,Summer,Low,2020,7,LT162,Oa/A,42.05,Yes,DegreeC60_48h,No,all,42.05,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not planning to measure samples from 2020; too few samples due to Covid
HBB_040,HubbardBearBrook,W6,Summer,Low,2021,7,LT163,Mineral_0_10,138.7,Yes,DegreeC60_48h,Yes,<2,106.12,0.4602,#040,5.91,0.28,0.9927,2.884,7.141,3.972,10.419,E,2,E,3,E/B,5,E,4,E/B,8,NA,NA,Run duplicates (HBB_040_a & HBB_040_b) grinded with clean sand only; HBB_040 grinded with playground sand only
HBB_040a,HubbardBearBrook,W6,Summer,Low,2021,7,LT163,Mineral_0_10,138.7,Yes,DegreeC60_48h,Yes,<2,106.12,0.4611,#030,5.92,0.28,0.9968,,,,,E,2,E,3,E/B,5,E,4,E/B,8,NA,NA,Run duplicates (HBB_040_a & HBB_040_b) grinded with clean sand only; HBB_040 grinded with playground sand only
HBB_040b,HubbardBearBrook,W6,Summer,Low,2021,7,LT163,Mineral_0_10,138.7,Yes,DegreeC60_48h,Yes,<2,106.12,,,5.93,0.28,,,,,,E,2,E,3,E/B,5,E,4,E/B,8,NA,NA,Run duplicates (HBB_040_a & HBB_040_b) grinded with clean sand only; HBB_040 grinded with playground sand only
HBB_041,HubbardBearBrook,W6,Summer,Low,2021,7,LT163,Oi/Oe,5.28,Yes,DegreeC60_48h,Yes,all,0,0.4795,#041,36.64,1.7,1.1028,,,,,Oi/Oe,1,Oi/Oe,3,Oi/Oe,5,Oi/Oe,5.5,Oi/Oe,4,NA,NA,grinded sample before containers were cleaned with count-free and sand
HBB_042,HubbardBearBrook,W6,Summer,Low,2021,7,LT163,Oa/A,59.6,Yes,DegreeC60_48h,Yes,all,,,,,,,1.124,2.135,1.406,4.929,Oa,8,Oa,6,Oa,4,Oa,4,Oa,6,NA,NA,
HBB_043,HubbardBearBrook,W6,Summer,Low,2021,7,LT174,Oa/A,36.21,Yes,DegreeC60_48h,Yes,all,,0.4515,#043,21.91,0.96,1.0162,1.200,1.250,1.292,2.820,A,3,Oa,3.5,A,0.5,Oa,4,NA,NA,NA,NA,
HBB_044,HubbardBearBrook,W6,Summer,Low,2021,7,LT162,Mineral_0_10,34.08,Yes,DegreeC60_48h,Yes,<2,23.74,0.4678,#044,4.54,0.23,0.9978,1.463,4.764,2.602,8.924,B,2,E,2,B,4.5,NA,0,NA,0,NA,0,
HBB_045,HubbardBearBrook,W6,Summer,Low,2021,7,LT168,Oa/A,78.16,Yes,DegreeC60_48h,Yes,all,,,,,,,1.949,8.687,2.446,11.658,A,6,A,6,Oa,3,NA,0,A,2,NA,NA,
HBB_046,HubbardBearBrook,W6,Summer,Low,2021,7,LT174,Mineral_0_10,128.46,Yes,DegreeC60_48h,Yes,<2,104.08,0.459,#046,3.37,0.19,0.9744,1.473,3.805,1.873,5.706,B,4,NA,0,E/B,10,E,3.5,NA,NA,NA,NA,
HBB_047,HubbardBearBrook,W6,Summer,Low,2021,7,LT174,Oi/Oe,10.07,Yes,DegreeC60_48h,Yes,all,4.22,0.4657,#047,41.51,1.88,1.0853,,,,,Oi/Oe,3.5,Oi/Oe,4,Oi/Oe,2,Oi/Oe,7.5,NA,NA,NA,NA,
HBB_048,HubbardBearBrook,W6,Summer,Low,2021,7,LT168,Oi/Oe,21.64,Yes,DegreeC60_48h,Yes,all,14.53,0.4846,#048,17.15,0.91,1.0647,,,,,Oi/Oe,4,Oi/Oe,3,Oi/Oe,4.5,Oi/Oe,5,Oi/Oe,2,NA,NA,
HBB_049,HubbardBearBrook,W6,Summer,Low,2021,7,LT162,Oi/Oe,17.91,Yes,DegreeC60_48h,Yes,all,11.85,0.479,#049,40.81,1.93,1.0983,,,,,,6,Oi/Oe,7,Oi/Oe,5,Oi/Oe,5,Oi/Oe,3.5,Oi/Oe,5,
HBB_050,HubbardBearBrook,W6,Summer,Low,2021,7,LT172,Mineral_0_10,40.45,Yes,DegreeC60_48h,Yes,<2,26.2,0.5308,#050,6.24,0.32,1.0045,2.975,6.485,3.767,9.498,B,4,NA,0,NA,0,E,2,E,5.5,NA,NA,
HBB_051,HubbardBearBrook,W6,Summer,Low,2021,7,LT172,Oi/Oe,12.35,Yes,DegreeC60_48h,Yes,all,6.53,0.4674,#051,40.8,2.12,1.0959,,,,,Oi/Oe,0.5,Oi/Oe,4,Oi/Oe,6,Oi/Oe,6,Oi/Oe,4,NA,NA,
HBB_052,HubbardBearBrook,W6,Summer,Low,2021,7,LT168,Mineral_0_10,100.46,Yes,DegreeC60_48h,Yes,<2,75.26,0.4781,#052,3.87,0.21,0.9913,2.272,9.628,3.585,13.363,B,4,E,4,E/B,8,NA,0,B,2,NA,NA,
HBB_053,HubbardBearBrook,W6,Summer,Low,2021,7,LT172,Oa/A,59.71,Yes,DegreeC60_48h,Yes,all,,0.4546,#053,19.12,0.96,1.0245,3.805,4.355,4.188,5.914,Oa/A,8,Oa,6,Oa,6,Oa,7,Oa,3,NA,NA,
HBB_054,HubbardBearBrook,W6,Summer,Low,2021,7,LT162,Oa/A,39.34,Yes,DegreeC60_48h,Yes,all,,,,,,,1.308,2.266,1.536,3.661,Oa,4,Oa,4,Oa,3,NA,0,A,3,Oa,4,
HBB_055,HubbardBearBrook,W6,Summer,Low,2023,7,LT174,Oa/A,35.44,Yes,DegreeC60_48h,Yes,all,,,,,,,0.891,3.476,1.287,6.251,Oa,3,A,2,A,4,A,1,NA,NA,NA,NA,
HBB_056,HubbardBearBrook,W6,Summer,Low,2023,7,LT168,Mineral_0_10,203.94,Yes,DegreeC60_48h,Yes,<2,146.37,0.4627,#056,3.23,0.17,1.0362,1.499,2.928,3.229,8.007,NA,10,NA,0,E,9.5,NA,0,E,3.5,NA,NA,Run duplicates (HBB_056_a & HBB_056_b) grinded with clean sand only; HBB_056 grinded with playground sand only
HBB_056a,HubbardBearBrook,W6,Summer,Low,2023,7,LT168,Mineral_0_10,203.94,Yes,DegreeC60_48h,Yes,<2,146.37,0.4746,#031,3.15,0.17,1.0067,,,,,NA,10,NA,0,E,9.5,NA,0,E,3.5,NA,NA,Run duplicates (HBB_056_a & HBB_056_b) grinded with clean sand only; HBB_056 grinded with playground sand only
HBB_056b,HubbardBearBrook,W6,Summer,Low,2023,7,LT168,Mineral_0_10,203.94,Yes,DegreeC60_48h,Yes,<2,146.37,,,3.18,0.18,,,,,,NA,10,NA,0,E,9.5,NA,0,E,3.5,NA,NA,Run duplicates (HBB_056_a & HBB_056_b) grinded with clean sand only; HBB_056 grinded with playground sand only
HBB_057,HubbardBearBrook,W6,Summer,Low,2023,7,LT172,Oa/A,16.34,Yes,DegreeC60_48h,Yes,all,7.63,0.4543,#057,22.45,1.3,1.089,4.876,4.921,5.325,6.035,Oa,6,NA,0,Oa,3,Oa,2,NA,NA,NA,NA,
HBB_058,HubbardBearBrook,W6,Summer,Low,2023,7,LT174,Mineral_0_10,90.1,Yes,DegreeC60_48h,Yes,<2,64.69,0.5127,#058,4.89,0.24,0.962,3.935,6.017,4.949,9.109,NA,0,B,1,B,9,E,8,NA,NA,NA,NA,
HBB_059,HubbardBearBrook,W6,Summer,Low,2023,7,LT174,Oi/Oe,7.09,Yes,DegreeC60_48h,Yes,all,0,0.4562,#059,40.53,1.81,1.0739,,,,,Oi/Oe,6,Oi/Oe,2,Oi/Oe,0.5,Oi/Oe,2.5,NA,NA,NA,NA,"still quite a few roots left in sample; grinded sample before containers were cleaned with count-free and sand; container opend during grinding, only transferred material that was inside the grinding container; used 'non-clean room' grinding balls"
HBB_060,HubbardBearBrook,W6,Summer,Low,2023,7,LT168,Oa/A,54.3,Yes,DegreeC60_48h,Yes,all,,0.4921,#060,13.59,0.77,1.0728,1.947,4.774,2.389,5.940,A,1,A,5,A,3,A,6,A,4,NA,NA,
HBB_061,HubbardBearBrook,W6,Summer,Low,2023,7,LT163,Oi/Oe,8.74,Yes,DegreeC60_48h,Yes,all,3.13,0.4661,#061,25.65,1.2,1.0522,,,,,Oi/Oe,2,Oi/Oe,1,Oi/Oe,2,Oi/Oe,3,NA,NA,NA,NA,grinded sample before containers were cleaned with count-free and sand
HBB_062,HubbardBearBrook,W6,Summer,Low,2023,7,LT168,Oi/Oe,17.06,Yes,DegreeC60_48h,Yes,all,10.91,0.4696,#062,19.53,0.96,1.0387,,,,,Oi/Oe,3,Oi/Oe,3.5,Oi/Oe,0.5,Oi/Oe,5,Oi/Oe,1.5,NA,NA,
HBB_063,HubbardBearBrook,W6,Summer,Low,2023,7,LT163,Mineral_0_10,103.07,Yes,DegreeC60_48h,Yes,<2,83.19,0.5276,#063,5.81,0.26,0.9925,4.087,8.458,4.950,11.550,E,5,B,10,E,2.5,NA,0,NA,NA,NA,NA,
HBB_064,HubbardBearBrook,W6,Summer,Low,2023,7,LT162,Mineral_0_10,59.47,Yes,DegreeC60_48h,Yes,<2,39.55,0.482,#064,6.76,0.29,0.9341,15.629,8.806,17.825,12.190,NA,0,B,2,NA,0,B,10,E,0.5,NA,NA,very light color: E-horizon?
