ID,ProjectName,Watershed,Season,Elevation,Year,Month,Plot,Horizon,Measured_%_C,Measured_%_N,al_pyr_mg_g,fe_pyr_mg_g,ca_pyr_mg_g,mg_pyr_mg_g,mn_pyr_mg_g,al_ox_mg_g,fe_ox_mg_g,ca_ox_mg_g,mg_ox_mg_g,mn_ox_mg_g,al_dith_mg_g,fe_dith_mg_g,ca_dith_mg_g,mg_dith_mg_g,mn_dith_mg_g
HBB_002,HubbardBearBrook,W6,Summer,Low,2010,6,LT162,Oa/A,13.98,0.75,0.82617,2.05764,5.69512,0.99938,0.09297,1.0897,3.54607,0.08232,0.11068,0.01457,0.93952,3.73944,0.62611,0.09869,0.01551
HBB_004,HubbardBearBrook,W6,Summer,Low,2010,6,LT174,Oa/A,41.89,1.76,2.29538,1.43322,30.09918,2.66645,0.17484,2.18978,1.98096,0.07829,0.25392,0.01247,2.13481,2.23973,2.77612,0.24237,0.01845
HBB_005,HubbardBearBrook,W6,Summer,Low,2010,6,LT168,Oa/A,21.1,1.1,1.32783,2.44298,12.63407,2.33578,0.7245,1.47264,3.24165,0.06996,0.22836,0.05991,1.28271,3.16451,1.21674,0.20716,0.06674
HBB_008,HubbardBearBrook,W6,Summer,Low,2010,6,LT162,Mineral_0_10,5.53,0.3,1.93399,6.42126,1.84851,0.55695,0.08077,2.49024,9.49465,0.07751,0.09375,0.02034,2.05587,8.58637,0.27519,0.07652,0.01455
HBB_010,HubbardBearBrook,W6,Summer,Low,2010,6,LT163,Mineral_0_10,2.78,0.12,0.52801,0.85827,1.70623,0.32801,0.06897,1.02511,4.74944,0.29013,0.05677,0.01956,0.74194,4.10279,0.24431,0.03569,0.01507
HBB_011,HubbardBearBrook,W6,Summer,Low,2010,6,LT172,Oa/A,33.49,2,4.00538,1.73405,32.64027,3.94876,0.29493,4.17537,2.47107,0.07635,0.38467,0.02702,3.7645,2.7556,3.00129,0.35418,0.03029
HBB_012,HubbardBearBrook,W6,Summer,Low,2010,6,LT168,Mineral_0_10,4.68,0.24,3.77547,8.76507,2.52672,0.91866,0.24832,5.50778,13.79568,0.09599,0.21751,0.04817,4.40161,11.31997,0.3639,0.14036,0.03754
HBB_013,HubbardBearBrook,W6,Summer,Low,2010,6,LT174,Mineral_0_10,3.37,0.17,1.37003,6.12198,3.17122,0.50849,0.05342,2.14456,9.57817,0.29263,0.07376,0.02166,1.6557,7.97407,0.64505,0.06609,0.01473
HBB_014,HubbardBearBrook,W6,Summer,Low,2010,6,LT172,Mineral_0_10,5.17,0.29,3.23623,9.09552,1.82153,0.72335,0.08372,3.89699,11.03646,0.08301,0.13614,0.01966,2.91504,10.04668,0.24139,0.07494,0.01449
HBB_015,HubbardBearBrook,W6,Summer,Low,2010,6,LT163,Oa/A,33.22,1.4,1.54539,1.30759,5.83073,1.58334,0.16445,1.603,2.33691,0.09762,0.16361,0.01759,1.43524,2.3643,0.59032,0.14757,0.01568
