Project,Date,Year,Se,Treatment,El,Plot,Hor,BIOC,RESPC,BION,NO3,NH4,NIT,MIN,DEA,H2O,pH
Calcium,1994-05-19,1994,SP,BearBrook,H,LT101,Oa/A,2223.7,5.66,98.65,3.68,2.95,2.97,3.5,165.04,0.38,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,H,LT109,Oa/A,2728.28,61.2,136.87,4.99,2.23,3.12,2.9,68.39,0.45,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,H,LT113,Oa/A,2818.12,68.04,174.66,6.69,2.29,4.08,4.55,4.81,0.37,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,H,LT117,Oa/A,3575.92,8.69,237.63,12.11,5.08,8.77,8.41,-9999.99,0.46,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,H,LT101,Oi/Oe,352.8,161.66,210.59,3.66,44.51,1.1,6.72,1723.29,0.51,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,H,LT109,Oi/Oe,6478.99,277.12,260.81,26.54,26.9,9.28,12.67,132.86,0.65,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,H,LT113,Oi/Oe,8081.51,258.24,207.74,19.84,23.63,5.78,9.47,161.15,0.67,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,H,LT117,Oi/Oe,920.34,232.86,274.16,9.82,40.41,1.87,5.73,35.56,0.7,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,L,LT162,Oa/A,3996.3,140.64,206.08,0.97,5.19,-0.1,3.31,-9999.99,0.54,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,L,LT169,Oa/A,2020.19,38.36,79.01,2.49,2.02,2.69,2.64,45.4,0.4,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,L,LT173,Oa/A,1981.17,38.1,88.9,1.22,1.85,0.9,1.99,21.87,0.35,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,L,LT177,Oa/A,1885.52,45.51,45.52,1.58,2.82,0.53,1.07,6.02,0.43,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,L,LT162,Oi/Oe,10713.18,396.47,529.5,2.16,37.82,-0.22,9.05,198.66,0.76,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,L,LT169,Oi/Oe,8704.79,64.41,446.54,20.09,18.53,9.64,9.5,50.82,0.7,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,L,LT173,Oi/Oe,288.99,215.53,316.36,3.99,16.85,2.35,6.19,34.52,0.63,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,L,LT177,Oi/Oe,7086.68,232.31,398.45,15.93,21.06,-0.46,-2.22,95.88,0.67,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,M,LT141,Oa/A,1217.4,69.09,84.38,4.18,1.77,3.7,3.62,34.56,0.42,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,M,LT148,Oa/A,2691.97,46.1,132.7,1.98,3.52,3.03,3.18,2681.69,0.52,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,M,LT153,Oa/A,1773.49,70.23,103.24,7.01,2.23,4.6,5.68,-9999.99,0.44,-9999.99
