Year,Horizon,F14C ,d13C,Plot,Watershed
1969,Oie,1.17273488,-29.94111724,1,6
1969,Oie,1.377907828,-29.83875567,127,6
1969,Oie,1.510428382,-28.73999736,116,6
1978,Oie,1.364764632,-29.45508332,21,6
1978,Oie,1.31001801,-29.22382021,124,6
1978,Oie,1.363661599,-31.57007041,189,6
1987,Oie,1.346549113,-27.15752361,32,6
1987,Oie,1.180685666,-29.70897473,125,6
1987,Oie,1.085718124,-24.75019846,204,6
1992,Oie,1.306076657,-25.30652325,40,6
1992,Oie,1.187277774,-22.79222765,151,6
1992,Oie,1.207251234,-23.33465704,167,6
2013,Oie,1.122864963,-24.92331509,68,6
2013,Oie,1.091533313,-23.21884888,198,6
2013,Oie,1.123221398,-24.37521455,108,6
2018,Oie,1.132206691,-24.30622274,3,6
2018,Oie,1.033428618,-25.87317509,172,6
2018,Oie,1.065974376,-23.20211057,117,6
1969,Oa,1.013357272,-29.49342351,1,6
1969,Oa,1.072852564,-31.8323574,127,6
1969,Oa,1.048492103,-30.61887358,197,6
1978,Oa,1.060011976,-25.55220015,21,6
1978,Oa,1.111062995,-30.25803505,124,6
1978,Oa,1.127788216,-28.04020139,189,6
1987,Oa,1.107736169,-30.88201786,32,6
1987,Oa,1.105277137,-24.16979294,125,6
1987,Oa,1.232549783,-23.94758138,204,6
1992,Oa,1.080552192,-20.40199341,4,6
1992,Oa,1.032197327,-22.62956706,151,6
1992,Oa,1.126533651,-22.27283641,167,6
2013,Oa,1.138067255,-22.78791775,68,6
2013,Oa,1.239305974,-22.78583883,198,6
2013,Oa,1.128356279,-23.28801095,108,6
2018,Oa,1.201183718,-22.06794124,3,6
2018,Oa,1.038522791,-23.73599156,172,6
2018,Oa,1.00842751,-23.53759465,117,6
1996,Oa,1.0401,-22.1,64,1
1996,Oie,1.1473,-31.6,64,1
1996,Oa,1.1335,-14.9,136,1
1996,Oie,1.2695,-21.8,136,1
1996,Oa,1.1634,-27.1,165,1
1996,Oie,1.1698,-31.2,165,1
1998,Oa,1.0668,-30.1,32,1
1998,Oie,1.2489,-30.8,32,1
1998,Oa,1.1383,-32.0,151,1
1998,Oie,1.2083,-31.9,151,1
1998,Oa,1.1289,-29.7,169,1
1998,Oie,1.2011,-33.4,169,1
2002,Oa,1.0291,-30.4,3,1
2002,Oie,1.2218,-32.0,3,1
2002,Oa,1.1918,-31.8,143,1
2002,Oie,1.1630,-33.2,143,1
2002,Oa,1.1854,-31.1,160,1
2002,Oie,1.1106,-32.7,160,1
2006,Oa,1.0352,-31.2,80,1
2006,Oie,1.1240,-31.1,80,1
2006,Oa,0.9946,-21.8,144,1
2006,Oie,1.1111,-28.4,144,1
2006,Oa,1.0033,-25.4,183,1
2006,Oie,1.1636,-28.0,183,1
2010,Oa,1.0922,-23.1,13,1
2010,Oie,1.1143,-31.0,13,1
2010,Oa,1.1247,-28.0,118,1
2010,Oie,1.1149,-29.0,118,1
2010,Oa,1.0270,-28.4,196,1
2010,Oie,1.1004,-30.2,196,1
2014,Oie,1.0847,-27.6,54,1
2014,Oa,1.1263,-28.5,111,1
2014,Oie,1.1221,-29.7,111,1
2014,Oa,1.1521,-28.9,194,1
2014,Oie,1.0982,-29.9,194,1
2018,Oa,1.0105,-27.1,21,1
2018,Oie,1.0550,-29.7,21,1
2018,Oa,1.1491,-28.7,127,1
2018,Oie,1.0806,-29.1,127,1
2018,Oa,0.9802,-28.7,191,1
2018,Oie,1.0806,-29.0,191,1
