Site_ID,Year,Plot,Horizon,Watershed,PerCentN,PerCentC
1976-6-1-Oie+a,1976,1,Oie+a,6,1.79,37.99
1976-6-6-Oie+a,1976,6,Oie+a,6,2.22,43.71
1976-6-8-Oie+a,1976,8,Oie+a,6,2.11,35.67
1976-6-12-Oie+a,1976,12,Oie+a,6,0.53,9.72
1976-6-17-Oie+a,1976,17,Oie+a,6,1.45,31.04
1976-6-18-Oie+a,1976,18,Oie+a,6,1.64,33.27
1976-6-20-Oie+a,1976,20,Oie+a,6,1.07,18.40
1976-6-22-Oie+a,1976,22,Oie+a,6,1.52,35.27
1976-6-33-Oie+a,1976,33,Oie+a,6,1.71,44.96
1976-6-35-Oie+a,1976,35,Oie+a,6,0.36,6.51
1976-6-38-Oie+a,1976,38,Oie+a,6,1.83,41.07
1976-6-41-Oie+a,1976,41,Oie+a,6,1.45,33.97
1976-6-49-Oie+a,1976,49,Oie+a,6,1.78,37.91
1976-6-52-Oie+a,1976,52,Oie+a,6,1.57,30.58
1976-6-55-Oie+a,1976,55,Oie+a,6,1.90,39.40
1976-6-59-Oie+a,1976,59,Oie+a,6,0.72,14.95
1976-6-65-Oie+a,1976,65,Oie+a,6,0.62,11.45
1976-6-68-Oie+a,1976,68,Oie+a,6,1.66,32.20
1976-6-70-Oie+a,1976,70,Oie+a,6,1.98,43.78
1976-6-77-Oie+a,1976,77,Oie+a,6,1.24,26.74
1976-6-82-Oie+a,1976,82,Oie+a,6,0.40,8.49
1976-6-86-Oie+a,1976,86,Oie+a,6,0.43,7.78
1976-6-88-Oie+a,1976,88,Oie+a,6,0.68,12.58
1976-6-91-Oie+a,1976,91,Oie+a,6,0.65,13.06
1976-6-97-Oie+a,1976,97,Oie+a,6,0.47,9.54
1976-6-101-Oie+a,1976,101,Oie+a,6,1.20,24.36
1976-6-103-Oie+a,1976,103,Oie+a,6,0.48,9.22
1976-6-106-Oie+a,1976,106,Oie+a,6,0.94,17.88
1976-6-108-Oie+a,1976,108,Oie+a,6,0.68,13.50
1976-6-113-Oie+a,1976,113,Oie+a,6,1.38,26.60
1976-6-115-Oie+a,1976,115,Oie+a,6,0.94,20.14
1976-6-117-Oie+a,1976,117,Oie+a,6,0.70,13.85
1976-6-126-Oie+a,1976,126,Oie+a,6,0.55,12.88
1976-6-128-Oie+a,1976,128,Oie+a,6,1.09,23.30
1976-6-130-Oie+a,1976,130,Oie+a,6,0.72,15.33
1976-6-136-Oie+a,1976,136,Oie+a,6,0.70,14.87
1976-6-138-Oie+a,1976,138,Oie+a,6,1.13,22.87
1976-6-141-Oie+a,1976,141,Oie+a,6,1.76,38.25
1976-6-143-Oie+a,1976,143,Oie+a,6,0.90,21.55
1976-6-146-Oie+a,1976,146,Oie+a,6,0.77,15.53
1976-6-153-Oie+a,1976,153,Oie+a,6,0.89,17.52
1976-6-156-Oie+a,1976,156,Oie+a,6,0.82,14.94
1976-6-160-Oie+a,1976,160,Oie+a,6,1.02,19.59
1976-6-162-Oie+a,1976,162,Oie+a,6,1.68,39.82
1976-6-169-Oie+a,1976,169,Oie+a,6,0.67,22.70
1976-6-172-Oie+a,1976,172,Oie+a,6,1.22,24.81
1976-6-179-Oie+a,1976,179,Oie+a,6,1.78,34.20
1976-6-180-Oie+a,1976,180,Oie+a,6,1.32,27.69
1976-6-183-Oie+a,1976,183,Oie+a,6,1.33,26.98
1976-6-186-Oie+a,1976,186,Oie+a,6,1.55,34.49
1976-6-190-Oie+a,1976,190,Oie+a,6,0.86,18.59
1976-6-192-Oie+a,1976,192,Oie+a,6,1.52,30.25
1976-6-197-Oie+a,1976,197,Oie+a,6,1.35,31.60
1976-6-200-Oie+a,1976,200,Oie+a,6,1.83,39.76
1976-6-202-Oie+a,1976,202,Oie+a,6,1.70,40.56
1976-6-203-Oie+a,1976,203,Oie+a,6,0.76,15.54
1976-6-205-Oie+a,1976,205,Oie+a,6,1.23,28.92
1976-6-206-Oie+a,1976,206,Oie+a,6,1.00,19.03
1976-6-207-Oie+a,1976,207,Oie+a,6,1.81,37.84
1977-6-1-Oie+a,1977,1,Oie+a,6,2.07,38.90
1977-6-4-Oie+a,1977,4,Oie+a,6,2.34,43.68
1977-6-5-Oie+a,1977,5,Oie+a,6,1.87,30.60
