Sample_ID,Year,Watershed,Plot,Horizon,Ca_mg_kg,Mg_mg_kg,K_mg_kg,P_mg_kg,Mn_mg_kg,Cu_mg_kg,Zn_mg_kg,Pb_mg_kg,Al_mg_kg,Fe_mg_kg
1976-6-101-Oie+a,1976,6,101,Oie+a,512.8,452.8,-9999.9,-9999.9,-9999.9,9.4,27.1,62.3,-9999.9,-9999.9
1976-6-103-Oie+a,1976,6,103,Oie+a,339.9,471.8,-9999.9,-9999.9,-9999.9,8,20.6,27.8,-9999.9,-9999.9
1976-6-106-Oie+a,1976,6,106,Oie+a,1245.6,187,-9999.9,-9999.9,-9999.9,5.4,41.3,67.8,-9999.9,-9999.9
1976-6-108-Oie+a,1976,6,108,Oie+a,704.7,125,-9999.9,-9999.9,-9999.9,10,38.1,87.2,-9999.9,-9999.9
1976-6-113-Oie+a,1976,6,113,Oie+a,1497.3,328.7,-9999.9,-9999.9,-9999.9,11.3,35,79.5,-9999.9,-9999.9
1976-6-115-Oie+a,1976,6,115,Oie+a,861.6,282.8,-9999.9,-9999.9,-9999.9,10.6,43.3,60.4,-9999.9,-9999.9
1976-6-117-Oie+a,1976,6,117,Oie+a,750.4,242.7,-9999.9,-9999.9,-9999.9,5.3,21.4,41.2,-9999.9,-9999.9
1976-6-126-Oie+a,1976,6,126,Oie+a,736.8,169.5,-9999.9,-9999.9,-9999.9,5.4,19.2,36.9,-9999.9,-9999.9
1976-6-128-Oie+a,1976,6,128,Oie+a,1576.2,197,-9999.9,-9999.9,-9999.9,9.1,77.3,69.2,-9999.9,-9999.9
1976-6-12-Oie+a,1976,6,12,Oie+a,342.1,337.1,-9999.9,-9999.9,-9999.9,5.1,22.6,65.3,-9999.9,-9999.9
1976-6-130-Oie+a,1976,6,130,Oie+a,853,109.1,-9999.9,-9999.9,-9999.9,4.9,21.6,42,-9999.9,-9999.9
1976-6-136-Oie+a,1976,6,136,Oie+a,730.4,120.1,-9999.9,-9999.9,-9999.9,5.3,22.9,31.1,-9999.9,-9999.9
1976-6-138-Oie+a,1976,6,138,Oie+a,1193.8,345.3,-9999.9,-9999.9,-9999.9,7.7,34.7,83.9,-9999.9,-9999.9
1976-6-141-Oie+a,1976,6,141,Oie+a,2747.1,280.1,-9999.9,-9999.9,-9999.9,14.1,67.8,118.3,-9999.9,-9999.9
1976-6-143-Oie+a,1976,6,143,Oie+a,1172.5,120.3,-9999.9,-9999.9,-9999.9,5.9,25.9,42.2,-9999.9,-9999.9
1976-6-146-Oie+a,1976,6,146,Oie+a,781.8,117.4,-9999.9,-9999.9,-9999.9,6,38.5,48.1,-9999.9,-9999.9
1976-6-153-Oie+a,1976,6,153,Oie+a,811.1,140.6,-9999.9,-9999.9,-9999.9,5.5,26.9,53.3,-9999.9,-9999.9
1976-6-156-Oie+a,1976,6,156,Oie+a,634.3,147.4,-9999.9,-9999.9,-9999.9,6.7,38.2,68.5,-9999.9,-9999.9
1976-6-160-Oie+a,1976,6,160,Oie+a,1467.7,173.7,-9999.9,-9999.9,-9999.9,5.9,44.1,46.6,-9999.9,-9999.9
1976-6-162-Oie+a,1976,6,162,Oie+a,2589.2,241.7,-9999.9,-9999.9,-9999.9,14.3,34.8,110.3,-9999.9,-9999.9
1976-6-169-Oie+a,1976,6,169,Oie+a,2121.9,252.5,-9999.9,-9999.9,-9999.9,4.8,33.1,40.7,-9999.9,-9999.9
1976-6-172-Oie+a,1976,6,172,Oie+a,2323.8,190.1,-9999.9,-9999.9,-9999.9,8.5,52.2,89.5,-9999.9,-9999.9
1976-6-179-Oie+a,1976,6,179,Oie+a,1829.1,250,-9999.9,-9999.9,-9999.9,10.1,85.6,159.2,-9999.9,-9999.9
1976-6-17-Oie+a,1976,6,17,Oie+a,858.4,162.7,-9999.9,-9999.9,-9999.9,11.1,25.2,113.3,-9999.9,-9999.9
1976-6-180-Oie+a,1976,6,180,Oie+a,2609.6,233.2,-9999.9,-9999.9,-9999.9,9.4,86.9,87.4,-9999.9,-9999.9
1976-6-183-Oie+a,1976,6,183,Oie+a,2132.5,213.3,-9999.9,-9999.9,-9999.9,7.9,77.6,85.2,-9999.9,-9999.9
1976-6-186-Oie+a,1976,6,186,Oie+a,1391,176.4,-9999.9,-9999.9,-9999.9,8.6,63.1,105.7,-9999.9,-9999.9
1976-6-18-Oie+a,1976,6,18,Oie+a,1579.2,253.8,-9999.9,-9999.9,-9999.9,10.6,51.1,128.5,-9999.9,-9999.9
1976-6-190-Oie+a,1976,6,190,Oie+a,1146.3,181.4,-9999.9,-9999.9,-9999.9,5.4,47.3,46.6,-9999.9,-9999.9
1976-6-192-Oie+a,1976,6,192,Oie+a,4074.8,354.7,-9999.9,-9999.9,-9999.9,8.6,63.3,85.1,-9999.9,-9999.9
1976-6-197-Oie+a,1976,6,197,Oie+a,2916.9,288.7,-9999.9,-9999.9,-9999.9,7.5,220.6,86.9,-9999.9,-9999.9
1976-6-1-Oie+a,1976,6,1,Oie+a,1603.6,283.7,-9999.9,-9999.9,-9999.9,10.5,35.5,202.3,-9999.9,-9999.9
1976-6-200-Oie+a,1976,6,200,Oie+a,4033.9,370.3,-9999.9,-9999.9,-9999.9,12.4,100.2,119.3,-9999.9,-9999.9
1976-6-202-Oie+a,1976,6,202,Oie+a,4391.3,457,-9999.9,-9999.9,-9999.9,7.7,90.3,89,-9999.9,-9999.9
1976-6-203-Oie+a,1976,6,203,Oie+a,1078.6,280.2,-9999.9,-9999.9,-9999.9,5.7,46.7,65.5,-9999.9,-9999.9
1976-6-205-Oie+a,1976,6,205,Oie+a,1431,487.5,-9999.9,-9999.9,-9999.9,8.9,65.3,67.7,-9999.9,-9999.9
1976-6-206-Oie+a,1976,6,206,Oie+a,3161.9,415.9,-9999.9,-9999.9,-9999.9,8.5,124.9,52.8,-9999.9,-9999.9
1976-6-207-Oie+a,1976,6,207,Oie+a,4535.2,261.2,-9999.9,-9999.9,-9999.9,6.8,105.2,79.6,-9999.9,-9999.9
1976-6-20-Oie+a,1976,6,20,Oie+a,263.8,504.2,-9999.9,-9999.9,-9999.9,9.5,31.2,47.7,-9999.9,-9999.9
1976-6-22-Oie+a,1976,6,22,Oie+a,1109,267.8,-9999.9,-9999.9,-9999.9,7.7,55.5,79,-9999.9,-9999.9
1976-6-33-Oie+a,1976,6,33,Oie+a,1634.7,177.5,-9999.9,-9999.9,-9999.9,11,46.2,80.7,-9999.9,-9999.9
1976-6-35-Oie+a,1976,6,35,Oie+a,146,237.1,-9999.9,-9999.9,-9999.9,3.2,14.2,26.9,-9999.9,-9999.9
1976-6-38-Oie+a,1976,6,38,Oie+a,1468.7,265.5,-9999.9,-9999.9,-9999.9,14.3,60.6,101.6,-9999.9,-9999.9
1976-6-41-Oie+a,1976,6,41,Oie+a,1685.1,198.2,-9999.9,-9999.9,-9999.9,7.8,83.9,89.7,-9999.9,-9999.9
1976-6-49-Oie+a,1976,6,49,Oie+a,2144.1,251.8,-9999.9,-9999.9,-9999.9,12.2,67.8,112.5,-9999.9,-9999.9
1976-6-52-Oie+a,1976,6,52,Oie+a,2230.9,454.8,-9999.9,-9999.9,-9999.9,11.3,66.1,125.7,-9999.9,-9999.9
1976-6-55-Oie+a,1976,6,55,Oie+a,984.9,228.9,-9999.9,-9999.9,-9999.9,19.1,42.8,134,-9999.9,-9999.9
1976-6-59-Oie+a,1976,6,59,Oie+a,366.4,195.6,-9999.9,-9999.9,-9999.9,9.8,24,54.7,-9999.9,-9999.9
