Sample_ID,Year,Watershed,Plot,Horizon,Ca_g_m2,Mg_g_m2,K_g_m2,P_g_m2,Mn_g_m2,Cu_g_m2,Zn_g_m2,Pb_g_m2,Al_g_m2,Fe_g_m2
1976-6-1-Oie+a,1976,6,1,Oie+a,8.92,1.58,-9999.99,-9999.99,-9999.99,0.06,0.2,1.12,-9999.99,-9999.99
1976-6-6-Oie+a,1976,6,6,Oie+a,10.51,1.83,-9999.99,-9999.99,-9999.99,0.06,0.41,0.74,-9999.99,-9999.99
1976-6-8-Oie+a,1976,6,8,Oie+a,3.34,2.8,-9999.99,-9999.99,-9999.99,0.1,0.26,0.89,-9999.99,-9999.99
1976-6-12-Oie+a,1976,6,12,Oie+a,15.04,14.82,-9999.99,-9999.99,-9999.99,0.23,0.99,2.87,-9999.99,-9999.99
1976-6-17-Oie+a,1976,6,17,Oie+a,3.7,0.7,-9999.99,-9999.99,-9999.99,0.05,0.11,0.49,-9999.99,-9999.99
1976-6-18-Oie+a,1976,6,18,Oie+a,11.68,1.88,-9999.99,-9999.99,-9999.99,0.08,0.38,0.95,-9999.99,-9999.99
1976-6-20-Oie+a,1976,6,20,Oie+a,13.14,25.11,-9999.99,-9999.99,-9999.99,0.47,1.56,2.38,-9999.99,-9999.99
1976-6-22-Oie+a,1976,6,22,Oie+a,22.88,5.53,-9999.99,-9999.99,-9999.99,0.16,1.15,1.63,-9999.99,-9999.99
1976-6-33-Oie+a,1976,6,33,Oie+a,27.31,2.97,-9999.99,-9999.99,-9999.99,0.18,0.77,1.35,-9999.99,-9999.99
1976-6-35-Oie+a,1976,6,35,Oie+a,10.76,17.46,-9999.99,-9999.99,-9999.99,0.24,1.05,1.98,-9999.99,-9999.99
1976-6-38-Oie+a,1976,6,38,Oie+a,7.38,1.33,-9999.99,-9999.99,-9999.99,0.07,0.3,0.51,-9999.99,-9999.99
1976-6-41-Oie+a,1976,6,41,Oie+a,12.06,1.42,-9999.99,-9999.99,-9999.99,0.06,0.6,0.64,-9999.99,-9999.99
1976-6-49-Oie+a,1976,6,49,Oie+a,7.53,0.88,-9999.99,-9999.99,-9999.99,0.04,0.24,0.39,-9999.99,-9999.99
1976-6-52-Oie+a,1976,6,52,Oie+a,9.67,1.97,-9999.99,-9999.99,-9999.99,0.05,0.29,0.54,-9999.99,-9999.99
1976-6-55-Oie+a,1976,6,55,Oie+a,4.29,1,-9999.99,-9999.99,-9999.99,0.08,0.19,0.58,-9999.99,-9999.99
1976-6-59-Oie+a,1976,6,59,Oie+a,7.94,4.24,-9999.99,-9999.99,-9999.99,0.21,0.52,1.19,-9999.99,-9999.99
1976-6-65-Oie+a,1976,6,65,Oie+a,4.06,4.01,-9999.99,-9999.99,-9999.99,0.09,0.37,0.58,-9999.99,-9999.99
1976-6-68-Oie+a,1976,6,68,Oie+a,8.04,0.99,-9999.99,-9999.99,-9999.99,0.05,0.34,0.37,-9999.99,-9999.99
1976-6-70-Oie+a,1976,6,70,Oie+a,9.05,0.98,-9999.99,-9999.99,-9999.99,0.06,0.32,0.4,-9999.99,-9999.99
1976-6-77-Oie+a,1976,6,77,Oie+a,10.13,1.52,-9999.99,-9999.99,-9999.99,0.06,0.23,0.66,-9999.99,-9999.99
1976-6-82-Oie+a,1976,6,82,Oie+a,14.95,22.31,-9999.99,-9999.99,-9999.99,0.23,0.98,2.33,-9999.99,-9999.99
1976-6-86-Oie+a,1976,6,86,Oie+a,13.46,31.84,-9999.99,-9999.99,-9999.99,0.48,1.56,1.91,-9999.99,-9999.99
1976-6-88-Oie+a,1976,6,88,Oie+a,11.23,10.95,-9999.99,-9999.99,-9999.99,0.31,0.78,1.66,-9999.99,-9999.99
1976-6-91-Oie+a,1976,6,91,Oie+a,9.27,4.98,-9999.99,-9999.99,-9999.99,0.1,0.37,0.57,-9999.99,-9999.99
1976-6-97-Oie+a,1976,6,97,Oie+a,20.43,16.86,-9999.99,-9999.99,-9999.99,0.35,0.95,1.32,-9999.99,-9999.99
1976-6-101-Oie+a,1976,6,101,Oie+a,5.35,4.73,-9999.99,-9999.99,-9999.99,0.1,0.28,0.65,-9999.99,-9999.99
1976-6-103-Oie+a,1976,6,103,Oie+a,19.83,27.53,-9999.99,-9999.99,-9999.99,0.47,1.2,1.62,-9999.99,-9999.99
1976-6-106-Oie+a,1976,6,106,Oie+a,12.54,1.88,-9999.99,-9999.99,-9999.99,0.05,0.42,0.68,-9999.99,-9999.99
1976-6-108-Oie+a,1976,6,108,Oie+a,19.2,3.41,-9999.99,-9999.99,-9999.99,0.27,1.04,2.38,-9999.99,-9999.99
1976-6-113-Oie+a,1976,6,113,Oie+a,11.85,2.6,-9999.99,-9999.99,-9999.99,0.09,0.28,0.63,-9999.99,-9999.99
1976-6-115-Oie+a,1976,6,115,Oie+a,13.98,4.59,-9999.99,-9999.99,-9999.99,0.17,0.7,0.98,-9999.99,-9999.99
1976-6-117-Oie+a,1976,6,117,Oie+a,7.51,2.43,-9999.99,-9999.99,-9999.99,0.05,0.21,0.41,-9999.99,-9999.99
1976-6-126-Oie+a,1976,6,126,Oie+a,23.85,5.49,-9999.99,-9999.99,-9999.99,0.18,0.62,1.19,-9999.99,-9999.99
1976-6-128-Oie+a,1976,6,128,Oie+a,11.47,1.43,-9999.99,-9999.99,-9999.99,0.07,0.56,0.5,-9999.99,-9999.99
1976-6-130-Oie+a,1976,6,130,Oie+a,11.14,1.43,-9999.99,-9999.99,-9999.99,0.06,0.28,0.55,-9999.99,-9999.99
1976-6-136-Oie+a,1976,6,136,Oie+a,11.42,1.88,-9999.99,-9999.99,-9999.99,0.08,0.36,0.49,-9999.99,-9999.99
1976-6-138-Oie+a,1976,6,138,Oie+a,44.44,12.86,-9999.99,-9999.99,-9999.99,0.29,1.29,3.12,-9999.99,-9999.99
1976-6-141-Oie+a,1976,6,141,Oie+a,11.93,1.22,-9999.99,-9999.99,-9999.99,0.06,0.29,0.51,-9999.99,-9999.99
1976-6-143-Oie+a,1976,6,143,Oie+a,21.93,2.25,-9999.99,-9999.99,-9999.99,0.11,0.48,0.79,-9999.99,-9999.99
1976-6-146-Oie+a,1976,6,146,Oie+a,13.56,2.04,-9999.99,-9999.99,-9999.99,0.1,0.67,0.83,-9999.99,-9999.99
1976-6-153-Oie+a,1976,6,153,Oie+a,19.57,3.39,-9999.99,-9999.99,-9999.99,0.13,0.65,1.29,-9999.99,-9999.99
1976-6-156-Oie+a,1976,6,156,Oie+a,15.98,3.71,-9999.99,-9999.99,-9999.99,0.17,0.96,1.73,-9999.99,-9999.99
