SurveyYear,Plot,Samp_Date,Plot_down,Plot_Over
1976,1,1976-07-13,99,99
1976,6,1976-07-13,99,99
1976,8,1976-07-13,99,99
1976,12,1976-07-07,99,99
1976,17,1976-07-13,99,99
1976,18,1976-07-07,99,99
1976,20,1976-07-07,99,99
1976,22,1976-07-07,99,99
1976,33,1976-07-07,99,99
1976,35,1976-07-13,99,99
1976,38,1976-07-13,99,99
1976,41,1976-07-07,99,99
1976,49,1976-07-13,99,99
1976,52,1976-07-13,99,99
1976,55,1976-07-07,99,99
1976,59,1976-07-13,99,99
1976,65,1976-07-13,99,99
1976,68,1976-07-13,99,99
1976,70,1976-07-12,99,99
1976,77,1976-07-13,99,99
1976,82,1976-07-12,99,99
1976,86,1976-07-12,99,99
1976,88,1976-07-12,99,99
1976,91,1976-07-12,99,99
1976,97,1976-07-09,99,99
1976,101,1976-07-09,99,99
1976,103,1976-07-09,99,99
1976,106,1976-07-09,99,99
1976,108,1976-07-09,99,99
1976,113,1976-07-09,99,99
1976,115,1976-07-09,99,99
1976,117,1976-07-09,99,99
1976,126,1976-07-09,99,99
1976,128,1976-07-09,99,99
1976,130,1976-07-09,99,99
1976,136,1976-07-09,99,99
1976,138,1976-07-09,99,99
1976,141,1976-07-09,99,99
1976,143,1976-07-09,99,99
1976,146,1976-07-09,99,99
1976,153,1976-07-09,99,99
1976,156,1976-07-08,99,99
1976,160,1976-07-08,99,99
1976,162,1976-07-08,99,99
1976,169,1976-07-08,99,99
1976,172,1976-07-08,99,99
1976,179,1976-07-08,99,99
1976,180,1976-07-08,99,99
1976,183,1976-07-08,99,99
1976,186,1976-07-08,99,99
1976,190,1976-07-08,99,99
1976,192,1976-07-08,99,99
1976,197,1976-07-08,99,99
1976,200,1976-07-08,99,99
1976,202,1976-07-08,99,99
1976,203,1976-07-08,99,99
1976,205,NA,99,99
1976,206,NA,99,99
1976,207,1976-07-08,99,99
1977,1,1977-07-22,99,99
1977,4,1977-07-22,5,4
1977,5,1977-07-22,3,25
1977,7,1977-07-22,24,4
1977,12,1977-07-27,99,99
1977,15,1977-07-27,99,99
1977,16,1977-07-22,11,12
1977,17,1977-07-22,25,11
1977,24,1977-07-27,99,99
1977,29,1977-07-27,99,99
1977,31,1977-07-27,99,99
1977,34,1977-07-24,99,99
1977,38,1977-07-27,99,99
1977,41,1977-07-27,99,99
1977,43,1977-07-24,20,25
1977,45,1977-07-24,99,99
1977,47,1977-07-26,99,99
1977,50,1977-07-24,25,6
1977,53,1977-07-26,99,99
1977,56,1977-07-23,99,99
1977,59,1977-07-23,99,99
1977,61,1977-07-26,99,99
1977,62,1977-07-26,99,99
1977,65,1977-07-23,99,99
1977,69,1977-07-24,99,99
1977,71,1977-07-22,12,5
1977,72,1977-07-23,18,11
1977,76,1977-07-21,99,99
1977,82,1977-07-21,99,99
1977,86,1977-07-22,5,5
1977,93,1977-07-21,99,99
1977,98,1977-07-21,99,99
1977,101,1977-07-20,99,99
1977,111,1977-07-20,99,99
1977,116,1977-07-20,99,99
1977,122,1977-07-20,99,99
1977,126,1977-07-19,99,99
1977,134,1977-07-19,99,99
1977,142,1977-07-19,99,99
1977,143,1977-07-19,99,99
1977,146,1977-07-15,99,99
1977,147,1977-07-15,5,23
1977,152,1977-07-15,99,99
1977,161,1977-07-27,99,99
1977,164,1977-07-14,99,99
1977,169,1977-07-14,99,99
1977,170,1977-07-14,99,99
1977,173,1977-07-12,99,99
1977,175,1977-07-14,99,99
1977,178,1977-06-28,23,20
1977,181,1977-07-16,18,16
1977,186,1977-07-13,99,99
1977,187,1977-07-13,99,99
1977,192,1977-07-11,99,99
1977,194,1977-07-11,99,99
1977,198,1977-07-12,99,99
1977,199,1977-07-13,99,99
1977,202,1977-07-11,99,99
1977,203,1977-07-18,99,99
1977,205,1977-07-11,99,99
1978,2,1978-07-11,24,21
1978,11,1978-07-11,13,24
1978,13,1978-07-11,21,22
1978,19,1978-07-11,10,8
1978,21,1978-07-09,13,10
1978,25,1978-07-11,14,14
1978,27,1978-07-11,20,13
1978,32,1978-07-09,16,1
1978,36,1978-07-11,22,17
1978,39,1978-07-09,15,18
1978,42,1978-07-11,7,8
1978,48,1978-07-09,15,1
1978,51,1978-07-11,13,16
1978,54,1978-07-09,20,9
1978,58,1978-07-11,24,19
1978,60,1978-07-09,12,14
1978,64,1978-07-11,21,16
1978,66,1978-07-09,15,17
1978,74,1978-07-09,0,12
1978,80,1978-07-10,13,14
1978,83,1978-07-09,8,4
1978,84,1978-07-09,12,15
1978,87,1978-07-10,11,23
1978,92,1978-07-09,17,5
1978,95,1978-07-10,18,16
1978,99,1978-07-09,18,3
1978,102,1978-07-10,10,18
1978,105,1978-07-09,16,18
1978,107,1978-07-10,7,20
1978,114,1978-07-10,22,17
1978,120,1978-07-10,21,15
1978,123,1978-07-09,14,9
1978,124,1978-07-09,10,5
1978,129,1978-07-09,0,12
1978,131,1978-07-10,24,16
1978,133,1978-07-10,16,21
1978,139,1978-07-10,16,10
1978,144,1978-07-09,3,12
1978,148,1978-07-10,9,21
1978,151,1978-07-09,99,99
1978,154,1978-07-10,7,16
1978,155,1978-07-09,7,4
1978,157,1978-07-10,7,16
1978,159,1978-07-10,16,16
1978,163,1978-07-10,20,3
1978,165,1978-07-09,15,1
1978,168,1978-07-10,18,20
1978,171,1978-07-09,16,12
1978,174,1978-07-09,14,10
1978,177,1978-07-10,3,14
1978,182,1978-07-10,10,10
1978,184,1978-07-09,18,4
1978,185,1978-07-10,15,1
1978,189,1978-07-09,13,7
1978,193,1978-07-09,99,99
1978,195,1978-07-11,18,11
1978,201,1978-07-11,15,14
1978,204,1978-07-11,12,18
1978,208,1978-07-11,99,99
1982,1,1982-07-13,8,6
1982,4,1982-07-13,10,9
1982,5,1982-07-13,5,9
1982,9,1982-07-13,14,13
1982,10,1982-07-13,13,7
1982,12,1982-07-13,12,3
1982,15,1982-07-13,7,15
1982,20,1982-07-13,7,4
1982,23,1982-07-13,20,8
1982,25,1982-07-13,13,19
1982,27,1982-07-13,14,1
1982,30,1982-07-13,13,10
1982,32,1982-07-13,11,8
1982,34,1982-07-13,15,11
1982,38,1982-07-13,5,17
1982,44,1982-07-13,20,5
1982,48,1982-07-13,13,8
