Sample_ID,Year,Watershed,Plot,Horizon,OM_TM,OM_OM,OM_LOI
1976-6-101-Oie+a,1976,6,101,Oie+a,10.44,5.21,49.87
1976-6-103-Oie+a,1976,6,103,Oie+a,58.35,10.27,17.6
1976-6-106-Oie+a,1976,6,106,Oie+a,10.07,3.50,34.77
1976-6-108-Oie+a,1976,6,108,Oie+a,27.25,9.70,35.58
1976-6-113-Oie+a,1976,6,113,Oie+a,7.92,4.13,52.22
1976-6-115-Oie+a,1976,6,115,Oie+a,16.22,6.38,39.31
1976-6-117-Oie+a,1976,6,117,Oie+a,10.01,2.40,23.98
1976-6-126-Oie+a,1976,6,126,Oie+a,32.37,7.52,23.24
1976-6-128-Oie+a,1976,6,128,Oie+a,7.28,3.24,44.44
1976-6-12-Oie+a,1976,6,12,Oie+a,43.96,8.78,19.98
1976-6-130-Oie+a,1976,6,130,Oie+a,13.06,3.77,28.83
1976-6-136-Oie+a,1976,6,136,Oie+a,15.63,4.26,27.24
1976-6-138-Oie+a,1976,6,138,Oie+a,37.23,15.77,42.36
1976-6-141-Oie+a,1976,6,141,Oie+a,4.34,3.13,72.17
1976-6-143-Oie+a,1976,6,143,Oie+a,18.71,7.35,39.27
1976-6-146-Oie+a,1976,6,146,Oie+a,17.35,5.67,32.71
1976-6-153-Oie+a,1976,6,153,Oie+a,24.13,7.82,32.4
1976-6-156-Oie+a,1976,6,156,Oie+a,25.19,7.07,28.05
1976-6-160-Oie+a,1976,6,160,Oie+a,12.27,4.49,36.61
1976-6-162-Oie+a,1976,6,162,Oie+a,8.03,5.80,72.17
1976-6-169-Oie+a,1976,6,169,Oie+a,52.59,21.78,41.42
1976-6-172-Oie+a,1976,6,172,Oie+a,6.73,3.36,49.84
1976-6-179-Oie+a,1976,6,179,Oie+a,10.03,6.10,60.79
1976-6-17-Oie+a,1976,6,17,Oie+a,4.32,2.16,50
1976-6-180-Oie+a,1976,6,180,Oie+a,3.56,2.02,56.8
1976-6-183-Oie+a,1976,6,183,Oie+a,6.17,3.22,52.13
1976-6-186-Oie+a,1976,6,186,Oie+a,6.00,3.71,61.84
1976-6-18-Oie+a,1976,6,18,Oie+a,7.40,4.65,62.91
1976-6-190-Oie+a,1976,6,190,Oie+a,12.05,3.89,32.28
1976-6-192-Oie+a,1976,6,192,Oie+a,5.98,3.44,57.53
1976-6-197-Oie+a,1976,6,197,Oie+a,7.37,4.20,56.92
1976-6-1-Oie+a,1976,6,1,Oie+a,5.56,3.85,69.22
1976-6-200-Oie+a,1976,6,200,Oie+a,15.84,11.84,74.73
1976-6-202-Oie+a,1976,6,202,Oie+a,10.73,8.15,75.93
1976-6-203-Oie+a,1976,6,203,Oie+a,23.10,6.86,29.68
1976-6-205-Oie+a,1976,6,205,Oie+a,14.12,5.71,40.46
1976-6-206-Oie+a,1976,6,206,Oie+a,23.28,18.35,78.82
1976-6-207-Oie+a,1976,6,207,Oie+a,13.79,9.62,69.78
1976-6-20-Oie+a,1976,6,20,Oie+a,49.82,19.04,38.21
1976-6-22-Oie+a,1976,6,22,Oie+a,20.64,14.12,68.44
1976-6-33-Oie+a,1976,6,33,Oie+a,16.71,14.75,88.29
1976-6-35-Oie+a,1976,6,35,Oie+a,73.68,11.04,14.98
1976-6-38-Oie+a,1976,6,38,Oie+a,5.03,3.76,74.75
1976-6-41-Oie+a,1976,6,41,Oie+a,7.16,4.29,59.98
1976-6-49-Oie+a,1976,6,49,Oie+a,3.51,2.73,77.72
1976-6-52-Oie+a,1976,6,52,Oie+a,4.33,2.36,54.47
1976-6-55-Oie+a,1976,6,55,Oie+a,4.35,3.25,74.6
1976-6-59-Oie+a,1976,6,59,Oie+a,21.67,5.87,27.07
1976-6-65-Oie+a,1976,6,65,Oie+a,17.33,4.01,23.14
1976-6-68-Oie+a,1976,6,68,Oie+a,2.96,1.88,63.59
1976-6-6-Oie+a,1976,6,6,Oie+a,5.00,4.06,81.15
1976-6-70-Oie+a,1976,6,70,Oie+a,3.99,3.25,81.6
1976-6-77-Oie+a,1976,6,77,Oie+a,6.37,3.12,48.94
1976-6-82-Oie+a,1976,6,82,Oie+a,63.77,10.78,16.91
1976-6-86-Oie+a,1976,6,86,Oie+a,71.55,11.51,16.09
1976-6-88-Oie+a,1976,6,88,Oie+a,34.79,7.99,22.97
1976-6-8-Oie+a,1976,6,8,Oie+a,8.94,5.93,66.28
1976-6-91-Oie+a,1976,6,91,Oie+a,13.83,3.85,27.84
1976-6-97-Oie+a,1976,6,97,Oie+a,49.17,9.94,20.22
1977-6-101-Oie+a,1977,6,101,Oie+a,11.38,3.15,27.66
1977-6-111-Oie+a,1977,6,111,Oie+a,10.84,7.65,70.59
1977-6-116-Oie+a,1977,6,116,Oie+a,11.04,4.35,39.38
1977-6-122-Oie+a,1977,6,122,Oie+a,9.92,4.00,40.35
1977-6-126-Oie+a,1977,6,126,Oie+a,12.57,6.96,55.35
1977-6-12-Oie+a,1977,6,12,Oie+a,4.30,3.34,77.61
1977-6-134-Oie+a,1977,6,134,Oie+a,37.92,9.18,24.19
