Plot,X-coord,Y-coord,Elevation_ft,Elevation_m,Slope_perct,Aspect_degree,Till_depth_ft
1,4,0,2595,791.0,32,100,2.0
,5,0,2490,759.0,,,
2,4,1,2592,790.0,41,85,0.3
3,5,1,2571,783.6,22,130,2.0
4,6,1,2547,776.3,15,80,2.2
,7,1,2540,774.2,,,
5,3,2,2573,784.3,14,185,1.5
6,4,2,2574,784.6,40,95,1.2
7,5,2,2545,775.7,12,115,2.4
8,6,2,2535,772.7,31,110,2.2
9,7,2,2524,769.3,9,210,2.2
,8,2,2522,768.7,,,
10,3,3,2571,783.6,1,0,1.8
11,4,3,2567,782.4,29,120,1.2
12,5,3,2539,773.9,19,105,0.6
13,6,3,2532,771.8,7,135,0.4
14,7,3,2519,767.8,7,145,1.1
15,8,3,2516,766.9,14,100,2.0
,9,3,2515,766.6,,,
16,2,4,2549,776.9,11,160,3.2
17,3,4,2552,777.8,17,155,0.6
18,4,4,2544,775.4,35,120,1.0
19,5,4,2526,769.9,20,125,1.2
20,6,4,2516,766.9,3,0,1.8
21,7,4,2512,765.7,19,130,1.2
22,8,4,2509,764.7,24,195,1.3
23,9,4,2506,763.8,2,350,1.4
24,10,4,2503,762.9,2,350,1.2
,11,4,2511,765.4,,,
25,2,5,2538,773.6,19,175,2.1
26,3,5,2538,773.6,25,155,1.4
27,4,5,2530,771.1,35,115,1.1
28,5,5,2515,766.6,18,160,0.5
29,6,5,2506,763.8,7,140,0.8
30,7,5,2504,763.2,24,130,0.7
31,8,5,2496,760.8,17,260,1.0
32,9,5,2505,763.5,4,0,0.4
33,10,5,2504,763.2,9,285,0.7
,11,5,2505,763.5,,,
34,1,6,2522,768.7,37,155,1.8
35,2,6,2521,768.4,36,210,1.0
36,3,6,2519,767.8,30,135,1.2
37,4,6,2516,766.9,38,120,0.5
38,5,6,2498,761.4,27,140,0.2
39,6,6,2497,761.1,26,161,0.2
40,7,6,2499,761.7,21,275,0.1
41,8,6,2492,759.6,23,250,0.1
,9,6,2504,763.2,,,
,10,6,2510,765.0,,,
,11,6,2511,765.4,,,
42,1,7,2500,762.0,40,160,0.4
43,2,7,2493,759.9,39,165,0.3
44,3,7,2502,762.6,48,130,0.5
45,4,7,2497,761.1,55,150,0.5
46,5,7,2477,755.0,40,180,1.1
47,6,7,2479,755.6,42,145,0.7
48,7,7,2472,753.5,37,255,0.2
,8,7,2481,756.2,,,
,9,7,2488,758.3,,,
49,1,8,2470,752.9,32,155,1.6
50,2,8,2455,748.3,31,170,1.2
51,3,8,2483,756.8,36,135,2.7
52,4,8,2460,749.8,48,150,1.4
53,5,8,2445,745.2,30,135,1.6
54,6,8,2447,745.8,45,220,1.1
55,7,8,2463,750.7,71,162,0.4
,8,8,2477,755.0,,,
56,1,9,2444,744.9,30,145,2.2
57,2,9,2443,744.6,38,142,1.6
58,3,9,2435,742.2,41,135,1.6
59,4,9,2427,739.7,31,135,1.5
60,5,9,2416,736.4,31,150,1.3
61,6,9,2420,737.6,24,185,1.2
62,7,9,2436,742.5,24,185,2.7
,8,9,2442,744.3,,,
63,1,10,2416,736.4,40,140,1.3
64,2,10,2411,734.9,26,160,1.3
65,3,10,2404,732.7,30,140,2.0
66,4,10,2399,731.2,35,165,2.2
67,5,10,2400,731.5,40,145,2.7
68,6,10,2403,732.4,18,210,4.0
69,7,10,2414,735.8,40,145,4.5
,8,10,2413,735.5,,,
70,1,11,2394,729.7,38,130,2.7
