Year,Mean,Sd,Min,Max,q05,q25,q50,q75,q95,Horizon
1997,200.6824214612062,0,200.6824214612062,200.6824214612062,200.6824214612062,200.6824214612062,200.6824214612062,200.6824214612062,200.6824214612062,Oi/Oe
1997.5,195.34003788048184,0.015153347548190463,195.27987168093276,195.38125871919877,195.31282112686253,195.3311772815706,195.34157710981572,195.35037051008885,195.36261666672905,Oi/Oe
1998,190.31744056974063,0.05626758408250377,190.0969132568615,190.46720718657627,190.2168826629906,190.28292909902095,190.320274519177,190.35849956256567,190.398077176614,Oi/Oe
1998.5,185.17881125535874,0.12112614247159821,184.69933046850494,185.500698908152,184.9622574697277,185.10407495823065,185.18647469884866,185.2660808757744,185.35403755434217,Oi/Oe
1999,180.34188140863245,0.2008673655090246,179.54709071236329,180.87499055944912,179.98120024611617,180.21817922129952,180.3556164380421,180.48915455551568,180.63195257412798,Oi/Oe
1999.5,175.30026455707983,0.30106242415090734,174.10645681741954,176.09780619992344,174.75998961049012,175.11365209679985,175.32098118362472,175.51828143249676,175.73436883160383,Oi/Oe
2000,170.57891495612773,0.4067733645942695,168.96398045099613,171.6546535020511,169.8482792631285,170.3271775626463,170.60681839137192,170.8723509901834,171.16527936022084,Oi/Oe
2000.5,165.8547523807193,0.5230719972849135,163.77761615690446,167.2377173345523,164.91614592975446,165.53067300680306,165.88981367695587,166.23000879779167,166.60889971046714,Oi/Oe
2001,161.23594151243103,0.6440639088485502,158.67961568517353,162.94013556056441,160.08043852475515,160.83760089868363,161.27884862221498,161.69878553554543,162.16551367124697,Oi/Oe
2001.5,156.79866342921073,0.7646933907440822,153.76708707562892,158.82664243423017,155.4273010297289,156.32413406227414,156.85006253851628,157.35013984797098,157.90174516065798,Oi/Oe
2002,152.66426949995665,0.8779340683850023,149.19315061700834,154.99455829254183,151.09218732572427,152.11786196058654,152.72366434817374,153.2950276335181,153.93276483608247,Oi/Oe
2002.5,148.27042783254734,1.005644996342574,144.3033584277362,150.94555281323264,146.4697108522143,147.64395325861705,148.33728413987612,148.99171477223118,149.72410881482216,Oi/Oe
2003,144.30326190375177,1.1152596190486983,139.9169155614104,147.28064431080256,142.30773332190523,143.60802592548265,144.3766709087485,145.10168977554733,145.91701064156922,Oi/Oe
2003.5,140.22242935717003,1.2322170239811103,135.3943205296422,143.52067763029618,138.02002169781454,139.45268978599813,140.3010038822584,141.10587094042435,142.0099818945359,Oi/Oe
2004,136.394551621954,1.336231400652802,131.18202177188488,139.9871185775945,134.00352643461554,135.5600161805312,136.47876107706526,137.35303107893625,138.3352295464501,Oi/Oe
2004.5,132.26388529588297,1.4562611794635454,126.6049747687581,136.19322364946984,129.65996949844083,131.3544759408358,132.3553612993903,133.30884531396202,134.38338208259572,Oi/Oe
2005,128.58466677090902,1.5501490153800506,122.59141271595465,132.78367818578806,125.81595447279439,127.61441047258488,128.67998593891238,129.69740093407867,130.84592798418024,Oi/Oe
