Year,Mean,Sd,Min,Max,q05,q25,q50,q75,q95,Horizon
1997,1587.2449686990765,0,1587.2449686990765,1587.2449686990765,1587.2449686990765,1587.2449686990765,1587.2449686990765,1587.2449686990765,1587.2449686990765,Oi/Oe
1997.5,1571.036394787448,9.033055381461384,1535.350508884544,1596.0384144176553,1554.4358341984876,1565.8082156435191,1571.522730059158,1576.8013071621933,1584.4861385929414,Oi/Oe
1998,1556.073128768941,17.274789459772034,1488.416726692836,1604.3181445071955,1524.380710863419,1546.0215396770775,1556.95539180238,1567.0906072387388,1581.9066321443217,Oi/Oe
1998.5,1542.260771870419,24.794702784003427,1445.971127701389,1612.112340298101,1496.8502418925627,1527.7599542219405,1543.4601380228928,1558.0632269826303,1579.4964848628747,Oi/Oe
1999,1529.5102528660414,31.6564200791389,1407.5844223655993,1619.449394230786,1471.6323012767461,1510.9056800964458,1530.9579002111855,1549.6711665461007,1577.2446864496417,Oi/Oe
1999.5,1517.7395190055693,37.91773330522229,1372.8690164565803,1626.3561726894106,1448.5328671221987,1495.350443817222,1519.3756284013807,1541.8695923704336,1575.1407868246908,Oi/Oe
2000,1506.8729586233753,43.63143991901026,1341.4735246308637,1632.8579044656258,1427.3739582940505,1480.9942226765074,1508.6457816045154,1534.6170100756829,1573.1750772106857,Oi/Oe
2000.5,1496.8407400130964,48.84569121227331,1313.08045404895,1638.9782798981753,1407.9925035245333,1467.7445210587152,1498.7056255809441,1527.874885267442,1571.3385158565047,Oi/Oe
2001,1487.5784432705059,53.60431857719436,1287.402786376658,1644.7396806146905,1390.239213759496,1455.5160539041153,1489.4970037386988,1521.6072625676097,1569.62261247664,Oi/Oe
2001.5,1479.026666900032,57.94729286038186,1264.180736684713,1650.1631672464337,1373.977311183663,1444.2301258250895,1480.9660821113905,1515.7807385563692,1568.01943560329,Oi/Oe
2002,1471.1306124828823,61.91106245970656,1243.1794312400425,1655.268557728292,1359.0814839437842,1433.8140747218954,1473.0629949102254,1510.3642733690867,1566.5215796345935,Oi/Oe
2002.5,1463.8397308559279,65.52884829246275,1224.18652882666,1660.0745081572036,1345.4369761279263,1424.2008451610222,1465.7415277754742,1505.329008225373,1565.1221268744168,Oi/Oe
2003,1457.1073956027326,68.83093899132811,1207.009960947772,1664.5985829832398,1332.9386762874524,1415.3285643859836,1458.958873424143,1500.6481111914318,1563.8146115831107,Oi/Oe
2003.5,1450.8905936699546,71.84495644210438,1191.4760272763594,1668.8573149696635,1321.4902970556789,1407.1401235189169,1452.6753814532858,1496.2966425709797,1562.5929934055293,Oi/Oe
2004,1445.1496422084538,74.59609079182539,1177.4276394015646,1672.8662663579337,1311.0036398709174,1399.5828148675705,1446.8543166220497,1492.251418984559,1561.4516296654065,Oi/Oe
2004.5,1439.8479295777404,77.10731607107768,1164.722730899115,1676.6400871056976,1301.3979151980936,1392.6079933395815,1441.461647079908,1488.4908877256407,1560.3852480483883,Oi/Oe
2005,1434.95167646912,79.39958702607639,1153.2328218197422,1680.192567953499,1292.5991202005855,1386.1707631305092,1436.4658455367405,1484.995012896622,1559.3889225861228,Oi/Oe
