Year,Mean,Sd,Min,Max,q05,q25,q50,q75,q95,Horizon
1997,250,0,250,250,250,250,250,250,250,oi
1997.5,219.0862845279928,2.61282421652718,207.51324474521192,221.49240697032525,212.72987277679158,218.82821676417055,219.9389734695555,220.61967189848247,221.16723613842692,oi
1998,195.09334566273483,7.262641253731592,163.96383759125976,201.83524099528816,177.23036571863955,194.33111973310042,197.47893300872198,199.40002613925756,200.9275545915936,oi
1998.5,175.50865279364066,10.888519676586819,133.41675560844024,186.40123964276634,148.32292227256616,173.82318682279424,179.05315300890257,182.28287738614597,184.86576938053668,oi
1999,161.1006218705844,12.153049894026116,120.10562588106377,174.6834391459433,130.89419479847035,158.21009372918593,164.90271969707237,169.15880403883037,172.6125462563981,oi
1999.5,148.66667932694472,12.707425350306423,110.58093731324536,164.42045211431267,117.92650876045886,144.53316156963513,152.3794661012522,157.54907298504338,161.82784326101586,oi
2000,139.47116994902953,12.145125611196598,107.14706989255606,156.22126154844906,111.43336973514066,134.3437102110604,142.64309109043194,148.37133814249094,153.23351165006181,oi
2000.5,131.47566786679386,11.604658819094952,103.14942408972084,148.95745895203416,106.0407187007836,125.62769796594425,134.10910406875752,140.2525538278523,145.6096406436531,oi
2001,124.75546860318899,10.925074333656486,100.07475596020376,142.58925481062533,102.07579345528262,118.45650243583077,126.82242395834663,133.20273071400845,138.94009558114507,oi
2001.5,119.24827948018222,10.10486228102631,98.13441199691609,137.04929474166883,99.4425356078707,112.75138380039873,120.74106786153938,127.18040163641803,133.16360156697215,oi
2002,115.03308254787638,9.147676080684132,97.31087343963485,132.3853756469555,98.17572186046843,108.60564979150689,115.9683801602065,122.2727853734315,128.3501718658384,oi
2002.5,109.94419102513967,8.946122374197245,92.38654596740714,127.53175679879791,93.74544399499068,103.55931695066218,110.65628075557221,116.99142820389959,123.28109856907821,oi
2003,106.55405495925343,8.108180600866726,91.99244524621663,123.5661045513623,92.7132975837448,100.39603484073012,106.83520496739496,112.93418848748638,119.21993243974049,oi
2003.5,102.57789737595954,7.852499850378934,88.1619525303874,119.54785553675862,89.29033186389789,96.61817799955091,102.70324665773501,108.69574633912504,115.06377464788864,oi
2004,99.4782592107029,7.307843049123997,86.68098626149768,116.01552381383007,87.55948872388561,93.78854030267142,99.3599292498134,105.11957630821622,111.45454428160639,oi
2004.5,95.19806784883878,7.452030921067919,81.22801124290203,112.09754662940784,82.67715217536727,89.61059678948651,95.1100147368119,100.88550279725956,107.36050002335573,oi
2005,92.51597790499777,6.873781024194642,80.6499636195479,108.8930028058388,81.50828155832666,87.1818002152442,92.19514626275893,97.70612391774685,104.1044288346855,oi
2005.5,88.70184583171351,6.974668410166599,75.87977983470884,105.33586634411219,77.21793689375417,83.47398023766934,88.42356359380565,93.9110712675076,100.40420744698841,oi
2006,86.06807455999979,6.54593286264688,74.71000464462475,102.29631152661555,75.6692877237551,81.05658321307985,85.63578542255513,90.89766900774843,97.31730132012517,oi
2006.5,82.64323243611494,6.5715531279285875,70.83669801289338,99.01408769045905,72.01915667434557,77.72515996010921,82.2311510945053,87.44618180296567,93.9179845672673,oi
2007,80.09092682826854,6.226304618895642,69.42289637257804,96.11893780904812,70.3140398811881,75.35734739485517,79.5683242740931,84.58554812276626,90.97998885537729,oi
2007.5,76.27082495873388,6.534555799115155,64.05132250627554,92.782481344869,65.50145676076993,71.53298162448706,75.87759849406007,80.963856555261,87.48867724631037,oi
2008,73.65058546975467,6.229643845819657,62.72650698383142,89.90193914991451,63.71942381632978,69.02898602718284,73.14721300788406,78.07966103657371,84.55242908378735,oi
2008.5,70.85570266149135,6.084478545514422,60.330616052960416,87.00774284811818,61.260116573118026,66.33222486896956,70.31419512777093,75.14171108776746,81.59248151740739,oi
2009,68.08452049707317,5.996210584068296,57.55537477841921,84.17371957032138,58.614263243414094,63.66478113249563,67.53878344659736,72.27129732144039,78.69503468820027,oi
2009.5,65.29248253765573,5.89330150577268,55.20640373071694,81.33456155856322,56.06563708986143,60.933232168944635,64.71979693783969,69.37584938834785,75.78815047255128,oi
2010,63.59294951082309,5.381150156380199,55.25124670938886,78.96407488195779,55.70876847175431,59.466992464344,62.8723097647954,67.24553409922851,73.46287659044171,oi
2010.5,60.94787105361017,5.418775255495649,51.79022957370027,76.3276770133594,52.70193511357995,56.92949358719868,60.30477869946782,64.60415049431694,70.78857522683602,oi
2011,59.00025851624035,5.130924166618476,50.74491898696731,73.96830647279317,51.415782618679536,55.14682665328324,58.302998666948994,62.41084401727032,68.45295697672915,oi
2011.5,56.79647384596161,5.018519267398244,48.62672032899407,71.56365615294402,49.341044090051014,53.06257185642721,56.11534888191838,60.102507904166885,66.05150074044519,oi
2012,54.80289239802614,4.855451887762824,46.891258609539136,69.28355345146753,47.61833855152408,51.20640571659213,54.1248065609572,57.968415430947225,63.794435012674015,oi
2012.5,52.594817388241154,4.803754929138425,44.64092290311705,66.94986809082826,45.39410079280382,49.07905274135783,51.95327299527275,55.71285358520995,61.46302701725092,oi
2013,50.75125261649964,4.615697739578665,43.28620558349594,64.78488446386277,43.94091027910917,47.35714941048607,50.0950893470179,53.71579147089367,59.334170486595504,oi
2013.5,48.6229840134507,4.5969649275148,40.897179932221974,62.555591272107414,41.696013887348634,45.29977797240569,48.01576395916818,51.57091266851555,57.115917864465125,oi
2014,46.693920704874536,4.4930799654480325,39.17072302854496,60.41644134196944,39.93395865448023,43.45163647140959,46.09725785093255,49.55701341637697,55.005496332643176,oi
2014.5,44.28332397311696,4.630000910751079,35.97011585379484,58.1295392439074,37.01174094999121,41.04188712862394,43.7781872077525,47.256283065627954,52.69673087149251,oi
2015,42.133680569297795,4.591550923517055,34.07979903550218,55.91654029388482,34.94919076559235,38.89975497098564,41.633269187050345,45.08271688626692,50.481155765417675,oi
2015.5,39.715831725807966,4.680384262714381,31.343476563295614,53.61837281420034,32.26862020492959,36.449807602042306,39.26085375008792,42.73909857886499,48.148510100210814,oi
2016,37.975762910348365,4.464320650976312,30.427356624095793,51.57113190520168,31.124070449005302,34.78260822866186,37.460080450918426,40.83179518702396,46.1381348890475,oi
2016.5,34.49883378881617,5.083123181611908,24.365016387255967,48.91702537939957,25.879351620675926,31.12979813410682,34.21027145480249,37.83425819621428,43.33934463872935,oi
2017,32.2934340835301,4.9472021665828425,23.2006309542625,46.637176521147516,24.194079796863313,28.88581757666875,31.927735709843752,35.5377997160144,41.035624258983326,oi
2017.5,29.544014788201174,5.088631862148513,20.123518993219626,44.16444649268514,21.153253962336272,26.04379982863908,29.20137485883023,32.903005180484726,38.48151042393799,oi
2018,27.301790115972896,4.993761096760624,18.341010214463438,41.86641285278836,19.252999525561822,23.80191835240958,26.90771373474199,30.58838319441043,36.159122208866414,oi
2018.5,24.9464780404767,4.959062763132864,16.210073182294504,39.52694620535602,17.044744154517854,21.43692489799609,24.5242989887412,28.20426824892325,33.786748841792225,oi
2019,23.203998824071352,4.672037067244725,15.565835305921372,37.42235433882235,16.118621536117452,19.789800240120226,22.679475708301755,26.230275451534173,31.712616634573145,oi
2019.5,20.757816839223054,4.78000961080834,12.37916217640822,35.10899349979479,13.274346457724407,17.354152643771936,20.28877353710601,23.861630521238517,29.363725245977523,oi
2020,18.820318761864335,4.6380877330142605,10.911815585632478,32.969612880531685,11.689176171372273,15.483699669455287,18.313229715781418,21.808559924003603,27.244167536376153,oi
2020.5,16.490209640873395,4.686238116021527,8.328116191556045,30.701550086226437,9.176253009037506,13.157273761438605,16.011100044303618,19.514295996903186,24.95282344476557,oi
2021,14.912699565580011,4.383230155819601,8.003594711179618,28.699543972459107,8.44620807060479,11.683083958621276,14.335728006190207,17.696422778869792,23.009068193924563,oi
2021.5,12.871033548614058,4.388747104244099,5.502770689480352,26.59353450083035,6.23914703379026,9.705827828412895,12.33471601545666,15.655372496384267,20.920568744744017,oi
2022,11.45035514163577,4.109213986574776,5.04116983035785,24.717299504579017,5.519561275059148,8.416451471713216,10.84798900177364,14.010471296089676,19.12533037451114,oi
2022.5,9.343807028133513,4.1932111506873895,2.247691054195311,22.640542214242167,3.0093986073917223,6.344333332987562,8.815451946305286,11.972615205523896,17.06052879511999,oi
2023,8.112334837256963,3.8667426525983433,2.2642795797511717,20.875124004302137,2.6362219574209034,5.248147224717781,7.501863581675816,10.482577906935242,15.399910953446616,oi
1997,199.99999999999994,0,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,oe
1997.5,201.07549926566938,1.2509990297907394,199.92916892791834,206.44578370376033,200.07860622021983,200.32175893081777,200.58734930152355,201.25533859027783,204.0800329779366,oe
1998,201.04074896151113,1.0046377225326524,199.85726641535373,204.32925128548374,200.05291479094035,200.36134945825623,200.68336381646313,201.365795745807,203.36878262880697,oe
1998.5,200.34219137127266,0.30926278185171135,199.42142720740242,201.46070889848588,199.90999171026007,200.12905122281094,200.3023385708642,200.52098818113828,200.93796198670972,oe
1999,199.1970867802929,1.0132956278635346,193.9601209505988,199.73367246787487,196.8765122218843,199.31076474920206,199.62098375400583,199.70168103027882,199.7253813453192,oe
1999.5,197.71860752369005,2.2048688966141623,188.24371955459563,199.63457243967352,192.48035289213914,197.44651233016845,198.5932125974045,199.0397709857687,199.42310826533875,oe
2000,195.99334261184762,3.448515037253744,182.57349766322318,199.55786567667366,187.87703146441748,195.21125890143117,197.29324028147045,198.18135491691996,199.0520069080593,oe
2000.5,194.07739933876204,4.695814648262289,177.00961523877768,199.47985549780788,183.15842896886554,192.72044182893103,195.7736750701635,197.15984180568532,198.58502931464403,oe
2001,192.00311632561116,5.93095998660355,171.54668386947102,199.40047685978035,178.5110677635324,189.94725107390187,194.0182761029069,195.9732799621806,198.00711432169,oe
2001.5,189.80640784225008,7.133535163136669,165.84715678430052,199.31969320620846,173.7437608290521,187.1659661326956,192.08841184087754,194.67579023710485,197.34433856312603,oe
2002,187.5343178458261,8.272639204168724,160.3990117421794,199.23750018396947,168.95099552311538,184.37922204061383,190.07519742778055,193.25144036387363,196.67781367115091,oe
2002.5,185.17353455286604,9.38273040233104,155.05131163096618,199.15379747710048,164.3686740629717,181.25346232552886,187.8657113971106,191.73066256380116,195.93218499757342,oe
2003,182.748837171884,10.445399801984893,149.89376698791435,199.0685340483065,159.28162406342398,177.96728091422105,185.54757025310255,190.0789445767409,195.03073607575723,oe
2003.5,180.2760173359239,11.45864141581577,144.93104420703727,198.98166256163162,154.88561024580792,174.71155094048376,183.22394731010814,188.3603806686694,194.13966677412589,oe
2004,177.75897411130953,12.42693237178567,140.13767152536593,198.89310066119825,150.6908014816144,171.3692701031727,180.7677168050451,186.6560750936876,193.12358824460244,oe
2004.5,175.18305194222415,13.373627112225396,135.38501120720724,198.80272547291412,146.51234857634964,168.13359306910468,178.29044245528402,184.7293623715898,192.03803604928433,oe
2005,172.5723366412375,14.275618931692314,130.80243316328998,198.71047319000644,142.24426769170609,164.78476553530436,175.74222169345765,182.72039795312273,190.90117012851422,oe
2005.5,169.92146706299306,15.147255635890657,126.3074732704339,198.61621973085875,138.03439024914545,161.54916683406316,173.1123011441501,180.69719608456535,189.7918462186544,oe
2006,167.24538759222634,15.975935149730741,121.97332767501878,198.51991035576577,133.80669750752182,158.33935261499505,170.4545878563265,178.6770919494552,188.6678429254871,oe
2006.5,164.5346337769229,16.777719420989442,117.70637410481943,198.42140095246785,129.6689332586127,155.10534710947,167.71517846555582,176.37297348148482,187.44742328436527,oe
2007,161.8082186341151,17.536099916005718,113.6030129491914,198.32060847680256,125.74652453844433,152.09954853101686,164.91695042890876,174.1621378082846,186.0831072213022,oe
2007.5,159.04340835487218,18.27838779889939,109.50389514595015,198.2173504444622,121.832796089093,148.65655152753953,162.17442865256294,171.742496379217,184.6362267699317,oe
2008,156.25499735724378,18.98898609882525,105.50572677284187,198.11148616461182,117.97774849456773,145.0736334328973,159.35458603813015,169.51681697447833,183.15694302727326,oe
2008.5,153.4530344155986,19.663640802805926,101.63047118992385,198.00267895774203,114.20266833411351,141.72414812882766,156.39486839590256,167.13518586041442,181.71646911304884,oe
2009,150.64439086096124,20.30011109383813,97.89047638758363,197.8910005101928,110.51544460085108,138.35464970216753,153.5705404482769,164.8993384712526,180.20163767542286,oe
2009.5,147.81193949610162,20.916999506100712,94.17451901573304,197.77650390766487,106.8557473175486,135.00164382966025,150.7645843528107,162.52325203149343,178.6800452419656,oe
2010,145.00283352772314,21.47437307730973,90.72457162992409,197.65908786586573,103.39068541745276,131.72557209570013,147.93701859060513,160.0403850046888,177.1203918408137,oe
2010.5,142.20078024577774,21.995718471051536,87.39035632243164,197.53845625889687,99.99828420758627,128.30488299011517,145.2389939212777,157.54501622914236,175.52296345992673,oe
2011,139.40690137325475,22.48170743290871,84.17193008902113,197.41444449763802,96.67077342584696,125.11389926324301,142.18598563192364,154.8522112850373,173.97572484756628,oe
2011.5,136.62388768273843,22.933961787080243,81.05906838810917,197.28675128725226,93.45232226684573,121.88899733362142,139.2081454789934,152.19178017385144,172.32076287607902,oe
2012,133.8593002694926,23.34860292497839,78.07875991533253,197.1552875551781,90.27012501379427,118.66464311592428,136.40478695886327,149.71289220514117,170.6103583615115,oe
2012.5,131.101325064711,23.73876824470355,75.1498969494766,197.0201554694886,87.13340172191984,115.33391207590299,133.5665712651779,147.12254286768996,168.77989035414495,oe
2013,128.36396540934462,24.093863322970453,72.34427911427676,196.8809751160887,84.13640033956025,112.31722461663541,130.63491685374817,144.66625412049393,167.01258790614807,oe
2013.5,125.64163779468446,24.421882274752,69.61161950347771,196.73752836029036,81.21505595848876,109.35404851309143,127.72835263623317,142.06516070156673,165.2146593695536,oe
2014,122.93526506428607,24.723263508686056,66.95341829856093,196.5893512725687,78.3686159340897,106.17526550267698,124.91940434199634,139.50079782580764,163.3870216978885,oe
2014.5,120.23609410545522,25.006786404272454,64.31547015785944,196.43658142196864,75.58439251962092,103.17534337877649,122.09367673694825,136.89224800827958,161.52871267429973,oe
2015,117.5374193486637,25.276912086239207,61.675724640916975,196.2788846968506,72.80559815271484,100.29354192378298,118.97029333577791,134.3774962619501,159.63824554332382,oe
2015.5,114.84063812449406,25.532599557481642,59.04500914062672,196.11586790939683,70.04137033546924,97.44920959184088,115.73120069538301,131.96959146898158,157.71613388131652,oe
2016,112.16465324351435,25.75911695716882,56.52517209858221,195.94731939071107,67.3777069290372,94.54232870512597,112.73863252718574,129.16987346320502,155.76672838508355,oe
2016.5,109.46941849343243,25.99058376315692,53.88592432186168,195.7728498831417,64.61591098715061,91.69622770000868,109.81502882043003,126.59822990550558,153.78255083960212,oe
2017,106.76094668466551,26.21649074775749,51.213255657577946,195.59204132956555,61.84056563475866,88.79855959008081,107.08524386901453,124.01335708673578,151.76298241407736,oe
2017.5,104.04340636383418,26.43443215745599,48.5230445428797,195.40456435509856,59.08393969333803,85.8526685905403,104.34409097320052,121.21256891199195,149.57771658003506,oe
2018,101.33277986431428,26.631948477539886,45.90254360686497,195.21014289046755,56.368247063442,82.98706219073598,101.51849766881361,118.25879903336,147.24152319999286,oe
2018.5,98.62199206178383,26.816764638540896,43.295829970344535,195.00837497405942,53.669597286093676,80.15107376896552,98.71972008184815,115.49637298208293,145.26174111458536,oe
2019,95.93275597920359,26.973760058796007,40.80742115328362,194.79902527616332,51.04456926848984,77.35098805360474,95.86228701752196,112.54616696029996,143.26340878975645,oe
2019.5,93.255179610389,27.114291812824582,38.35354711253181,194.58167720009212,48.46879809129511,74.43805018555716,93.13439272802282,109.85753838986429,141.17525633116037,oe
2020,90.59170463677545,27.236683032473625,35.95050941143052,194.35593371851502,45.94461372923614,71.72172648693353,90.39672084169925,107.01689981132273,138.9780925129127,oe
2020.5,87.93233875943521,27.34985667864862,33.536371779901984,194.12130733352706,43.41433986510124,68.97419976257828,87.50128755065,104.25949179159994,136.28593197897465,oe
2021,85.29434899415595,27.441044016536075,31.206910454898427,193.87746806636397,40.96200506296675,66.3657732721033,84.60645530606413,101.47230451734212,133.5377662216084,oe
2021.5,82.68515765139706,27.508530683688594,28.971088785034517,193.6240761836907,38.589821764031306,63.810251245876806,81.78557695096389,98.61859438203602,130.75451745759258,oe
2022,80.10353989262893,27.55480254687751,26.81359409044792,193.36067732633833,36.28703013970593,61.24268676798922,79.12667454597933,95.9589458009007,127.95076593329559,oe
2022.5,77.5416696550715,27.58795663168644,24.675323585926723,193.08676497194477,34.0025980571725,58.69852510667195,76.30538602926407,93.42383368904173,125.13950992397781,oe
2023,75.01084390100475,27.599784588158847,22.62331975728271,192.80193214937324,31.79804948402544,56.19938248133599,73.50514418298104,90.8014535034275,122.3035450077839,oe
1997,212.49999999999994,0,212.49999999999994,212.49999999999994,212.49999999999994,212.49999999999994,212.49999999999994,212.49999999999994,212.49999999999994,oie
1997.5,205.69639684303348,0.38970790203552547,204.2444507793007,206.8156510040067,205.00082814007936,205.48810015314783,205.74067228383166,205.95466434413584,206.2653948300907,oie
1998,199.91150377777177,0.40156120037710497,198.43933627199152,201.02131976056415,199.21157254987543,199.65591164054604,199.94098779497756,200.196871263194,200.5087464340621,oie
1998.5,194.50760643244826,0.20789971168281327,193.8206338786353,195.03178799114028,194.1526892442046,194.36871759867824,194.5256675547467,194.66871752161524,194.8146863339589,oie
1999,189.76070918886668,0.2334309467529962,188.58180342133076,190.83065716100495,189.3948541438184,189.6516462662418,189.76221291972655,189.85547925981572,190.16204837947834,oie
1999.5,185.06641189506564,0.6514652867037297,182.2817151148959,187.3701429089962,183.9312789178248,184.71936858530148,185.08113390559183,185.46053426808095,186.04915800327984,oie
2000,180.86703350402212,1.1448019603525204,176.3336595444856,184.53484509632008,178.85956997436386,180.2383287284306,180.87101007296667,181.60944122185188,182.6207951053021,oie
2000.5,176.7832118943725,1.6733102045369876,170.4250668603993,182.0218711914245,173.81275022415352,175.863315348652,176.804480992507,177.92728712089811,179.23363700389925,oie
2001,172.88469452651597,2.2229030062414097,164.6795349827274,179.64940945597195,168.91817860244564,171.6223831581409,172.95189044113812,174.47493716927286,176.1404839343192,oie
2001.5,169.20983946152424,2.7803823013938676,159.1873304201099,177.42757950889987,164.23579222024327,167.5715056403414,169.30447648366527,171.19410073958406,173.30943893769373,oie
2002,165.84250601784063,3.3298361632711146,154.09424225381682,175.40526950523554,159.87201645728493,163.89557888896053,165.9704589463496,168.24367956891405,170.6956646104477,oie
2002.5,162.22145665857803,3.8754921322508293,148.77982776712267,173.03179724501405,155.21591334043265,159.96566635854748,162.40669008903188,165.06541326853608,167.787682501388,oie
2003,159.01090547564095,4.409191424248295,143.98938361032418,171.00895415300934,150.99720113422882,156.46045861223257,159.22860136247033,162.26950735659335,165.43076980138994,oie
2003.5,155.65852097863294,4.927303976488065,139.13747147283573,168.74444419233203,146.6807576294573,152.80012742370587,155.89364495770883,159.3831816721989,162.9956875533418,oie
2004,152.5278427732633,5.428211602309553,134.6192064609666,166.64418389608363,142.6467583358296,149.3750147360322,152.8281352160301,156.606380686436,160.6815310540596,oie
2004.5,149.0692644937179,5.91815644596254,129.81449239273286,164.1611985717447,138.3254926244071,145.58602916302206,149.44627615191047,153.49879991038608,157.9230121897751,oie
2005,146.025086083424,6.388358971139587,125.55750945744472,162.06164258310895,134.42931068397797,142.28552636004622,146.4707050539997,150.81581342338364,155.6152078280458,oie
2005.5,142.67996692144166,6.843522981864207,121.05407378281905,159.6048463222531,130.2872156755917,138.6374761752324,143.12183886921275,147.80599685150722,153.07451119971557,oie
2006,139.65069595400263,7.277907589084097,116.9898408440115,157.4327017779266,126.5171941375911,135.36110156625074,140.03942486208376,145.01675726380122,150.78153463367354,oie
2006.5,136.4045057489161,7.696717802183293,112.76518587262105,155.0046705292802,122.58456521662998,131.8692789747568,136.82481612457184,142.0883482323361,148.24875947299452,oie
2007,133.40384036842593,8.094089309575235,108.89954576221974,152.78666292036556,118.93944822759984,128.63186969407892,133.79836801225844,139.34615328542733,145.93739736546783,oie
2007.5,130.0442033616901,8.478619966999933,104.7038714824901,150.18415284248064,114.98748126204829,125.02115093385821,130.37774063794538,136.29674775159268,143.2421247891077,oie
2008,127.00411845646896,8.845107269619342,100.92932537057197,147.89137896081246,111.36662674996059,121.73031046159495,127.32726456914784,133.53551757171405,140.84683803693696,oie
2008.5,123.92879960941842,9.193152284104752,97.19362765943606,145.52531916958338,107.75018620779723,118.37008095805851,124.22557043446031,130.73092959050706,138.3090960814993,oie
2009,120.87695444219854,9.521683508476183,93.56071864768782,143.14295024193464,104.19062497898665,115.05051921779643,121.10092780465742,127.95015043859124,135.6955145929213,oie
2009.5,117.80814112577652,9.835416966822722,89.96167875998798,140.73235350162147,100.63361520937335,111.72116435259554,118.00329090297024,125.06618782843839,133.19931197247092,oie
2010,115.09425683573001,10.123858211340135,86.84210487415392,138.61756689299503,97.48514630637038,108.72788086080803,115.28507756257844,122.52696525070746,131.07184949288055,oie
2010.5,112.14535740007577,10.39228348408511,83.53600531000585,136.21613475442058,94.1380646750193,105.53636611432417,112.28094297047302,119.78889128120326,128.69028179373973,oie
2011,109.41112832469648,10.64095564110622,80.52393287461416,134.00125681897288,91.05458227799915,102.59149964717078,109.49145536370376,117.24679344560751,126.44393829237441,oie
