Year,Mean,Sd,Min,Max,q05,q25,q50,q75,q95,Horizon
1997,387.13040601674186,0,387.13040601674186,387.13040601674186,387.13040601674186,387.13040601674186,387.13040601674186,387.13040601674186,387.13040601674186,Oi
1997.5,396.9546967841439,34.091005359507875,255.23157968675446,448.3377523701478,321.2553420580697,385.0949572211453,403.7321766737457,418.9193915072372,435.9999072829205,Oi
1998,407.26699232544047,57.394120771285365,193.3623849924741,503.46136949935897,280.739967926616,383.5518825170609,417.0112456720342,445.4343971021585,478.64744502880507,Oi
1998.5,417.1280051154947,74.42166678351292,164.34161469716102,553.10559335116,255.82199565155673,382.38223162595796,427.6319892697891,467.54967944824983,515.8649326321928,Oi
1999,426.12883354575223,87.5327350089239,150.7290009466715,597.8151150933319,240.49660159449058,381.495812027322,436.1266213874231,485.9954091710892,548.3434906132119,Oi
1999.5,434.13368303893367,98.02023538728763,144.34373919460558,638.0802304945588,231.07081273212367,380.82409689212005,442.9208157393758,501.3804992863439,576.6865437880882,Oi
2000,441.1431495666492,106.634354014553,141.348673826752,674.3428276011256,225.2738383905245,380.31502645492685,448.35445950606584,514.2123446727878,601.4207178236144,Oi
2000.5,447.2226838050899,113.83865562799117,139.9437898352107,707.0007735137755,221.70849243045274,379.9292514421227,452.70074678045546,524.9153329298737,623.0052997123854,Oi
2001,452.46388401101143,119.93825399670736,139.28482137131056,736.4123072984615,219.5156842069398,379.6369317094362,456.1769982837957,533.8423994451758,641.8416552232791,Oi
2001.5,456.96501174005397,125.14598572224456,138.97572684079597,762.9002795877808,218.16704708306207,379.4153135823255,458.95729442048616,541.2881760350032,658.279609661483,Oi
2002,460.82133661675607,129.61816074949098,138.83072187876152,786.7552452988306,217.3376006136201,379.2473709406622,461.18106637448057,547.4985159629347,672.6245240214319,Oi
2002.5,464.1204631514479,133.4744555275618,138.76270676770213,808.2389323899913,216.8274714197324,379.12010401192856,462.9596653290028,552.6784009742772,685.1429204611843,Oi
2003,466.94067087612086,136.80952193030993,138.73080908378654,827.5870591180974,216.51371694489524,379.0236457348143,464.3822177861009,556.9988089664657,696.0673727468604,Oi
2003.5,469.3506609356608,139.70009606727498,138.7158328086001,845.0119109134461,216.32075959873845,378.95054364128066,465.52000695340996,560.6023231644481,705.60083225864,Oi
2004,471.41005502266455,142.20953722604347,138.708828653335,860.7046663385521,216.20206410938485,378.8951373439516,466.43002850915514,563.607904783023,713.9204016846046,Oi
2004.5,473.1702253888354,144.39087048539588,138.70554497728304,874.8374985433713,216.12906792683515,378.8531501021508,467.1578808040793,566.114777784828,721.1806467674022,Oi
2005,474.6752073179473,146.28891230757014,138.70399828684293,887.5654708517634,216.0841685967094,378.82133200219033,467.7400308009369,568.2056886456581,727.5164538235621,Oi
2005.5,475.96262869470485,147.9418120372285,138.70325841300868,899.0282328776004,216.05656079770515,378.797218247002,468.2056445382723,569.9496580507732,733.0455304159511,Oi
2006,477.0645751238872,149.3822203356009,138.70291983418286,909.3515514261753,216.03957298468345,378.77894376221684,468.5780510759407,571.4042543332828,737.8705970010284,Oi
2006.5,478.00836863882967,150.6381934224142,138.70276146092905,918.6486916866249,216.0291197413464,378.7650945548365,468.8759086256405,572.6174873100304,742.0812943950905,Oi
2007,478.8172592779216,151.73391128564447,138.7026875276622,927.021659772538,216.02271332296903,378.7545988912029,469.11414048882136,573.6294096390611,745.7558495667058,Oi
2007.5,479.51102408045546,152.69026484733905,138.7026560206903,934.5623220141221,216.01876926303748,378.74664142409034,469.30468271999405,574.4734266411092,748.9625290065337,Oi
2008,480.10648477343227,153.52533147173483,138.70264080228833,941.3534128822345,216.01634208113515,378.74061690705855,469.4570818735203,575.1773976104811,751.760906796919,Oi
2008.5,480.6179523378961,154.25477847399026,138.70263310138245,947.4694427054981,216.01485290011408,378.73605123337984,469.5789735036717,575.7645602226751,754.2029715253985,Oi
2009,481.0576050350303,154.8921998792009,138.70262800308808,952.97751519806,216.01392687177716,378.73259109657545,469.676464666182,576.2542962327885,756.3340921081095,Oi
2009.5,481.43581012760274,155.44940201150757,138.70262641396187,957.9380637008302,216.01335475322068,378.7299683301565,469.75443988276754,576.6627713604532,758.1938606709699,Oi
2010,481.7613999742562,155.93664571453562,138.70262655663305,962.4055142437575,216.01300569966077,378.72797869251843,469.81680589135385,577.0034690905567,759.8168282076762,Oi
2010.5,482.04190349142414,156.36285460910054,138.70262621489005,966.4288826964652,216.0127917435877,378.7264695959947,469.86668815074756,577.287635575912,761.2331452122493,Oi
2011,482.28374216285755,156.73579423648187,138.70262572919222,970.0523125588563,216.01266005200358,378.7253270153575,469.90658349102927,577.5246509236032,762.4691248152353,Oi
2011.5,482.4923979527653,157.0622251618053,138.70262599225342,973.315559294035,216.01257940218443,378.7244614980153,469.93849341754526,577.7223388250048,763.5477296984667,Oi
2012,482.672553673789,157.34803651863524,138.70262613870042,976.2544265162735,216.0125296795391,378.723805202706,469.9640170973828,577.8872247980215,764.4889980459125,Oi
2012.5,482.82821245426265,157.59835949821894,138.70262585027186,978.9011588202778,216.0124994921297,378.72330786288416,469.9844308061357,578.024751596914,765.3104166865363,Oi
2013,482.96279782498954,157.8176674546695,138.7026259215934,981.2847955788029,216.01248147948164,378.72293096492916,470.00076319743715,578.1394588711704,766.0272458763538,Oi
2013.5,483.07924222351744,158.00986107248215,138.7026260033102,983.4314894715693,216.01247012747217,378.7226453174012,470.01381599657316,578.2351330155188,766.6528027946384,Oi
2014,483.1800585608657,158.1783432314878,138.70262595525296,985.3647935936378,216.01246303656055,378.72242878763785,470.0242570185433,578.3149325515342,767.1987089736602,Oi
