Year,Mean,Sd,Min,Max,q05,q25,q50,q75,q95,Horizon
1945.5,-18.081081055143866,0.13195409091615223,-18.314258342219226,-17.614076944183267,-18.285823234744704,-18.177648994279814,-18.092393798727013,-17.98761503217108,-17.84767386516175,oie
1946,-18.17900675065488,0.1267580035255652,-18.417651184433502,-17.728513082618026,-18.375354247112327,-18.271239113741927,-18.1897740530525,-18.089399129498556,-17.95496614494462,oie
1946.5,-18.285828888345637,0.123903682511293,-18.543779442362407,-17.84730567219639,-18.478706051303224,-18.374766362129755,-18.29544016972401,-18.198233335491754,-18.067967612481244,oie
1947,-18.407135805707025,0.1244230432546245,-18.70191726035353,-17.974285837389246,-18.603976209881775,-18.494487807463212,-18.41513146025664,-18.319210378355656,-18.191131655861668,oie
1947.5,-18.54736589994974,0.12892716671966456,-18.898693917564714,-18.11269255979342,-18.756348869228248,-18.63466181346177,-18.553055555029005,-18.456222245673978,-18.328165207601952,oie
1948,-18.70437452077796,0.13664428245890103,-19.12392735742785,-18.26180682587941,-18.931754998750133,-18.792591636277777,-18.707089678607126,-18.608048476719457,-18.478273754461654,oie
1948.5,-18.867575837287824,0.14470390513514844,-19.34668594211697,-18.415639936999128,-19.11403592834791,-18.95816620933416,-18.867185801722144,-18.765366643900215,-18.63333958034503,oie
1949,-19.039895996997295,0.15399333176797064,-19.58291809337154,-18.575431778670605,-19.30680225809139,-19.133740742157208,-19.03665434604718,-18.93015758020575,-18.794797614123404,oie
1949.5,-19.208723848308708,0.1609224740091246,-19.790293097603605,-18.732898564101873,-19.492006088896325,-19.305815432852704,-19.20370723419895,-19.094082240825706,-18.952696250056306,oie
1950,-19.32629559869153,0.15503677602048613,-19.85698585901796,-18.855836623928866,-19.59517481846047,-19.421642419781392,-19.31944422788134,-19.21622703995102,-19.08032993977874,oie
1950.5,-19.496136321931395,0.1626415958371781,-20.074723769258675,-19.013876313264788,-19.780406806139823,-19.59732111783319,-19.48527757376789,-19.380467346427565,-19.2426052160182,oie
1951,-19.743003862203054,0.1869300456390074,-20.46076631064675,-19.222613123772938,-20.07985319094218,-19.851687047511916,-19.726852652158566,-19.611625152675117,-19.4593626399565,oie
1951.5,-20.013570029476224,0.21368515936733523,-20.882070905756667,-19.45068513280168,-20.40457389256933,-20.13120209696584,-19.99235685406492,-19.86269537816554,-19.697343489465062,oie
1952,-20.215751897081557,0.22114727526990968,-21.099704749163784,-19.638417867972493,-20.61682700685763,-20.34111247882503,-20.193540420450518,-20.057963295661562,-19.88838004910009,oie
