Year,Mean,Sd,Min,Max,q05,q25,q50,q75,q95,Horizon
1945.5,-18.30410223458315,0.3426148503673059,-18.386310259953632,-14.850059240033575,-18.38457149564819,-18.3768624100773,-18.36028412281643,-18.332582833819497,-18.310366025400636,oie
1946,-18.44384220976566,0.3465089215251863,-18.53383914451101,-14.953735810635527,-18.53198384857683,-18.523793935557475,-18.505553659420805,-18.470459652453474,-18.411117784277533,oie
1946.5,-18.61049320397244,0.35508255177438725,-18.715840206360856,-15.058405001306397,-18.713348577807196,-18.70234008240282,-18.67823496118559,-18.632676597955754,-18.526349326789283,oie
1947,-18.825924570482194,0.37250657804196813,-18.957062806313594,-15.164822581644867,-18.95346249934021,-18.937645386790408,-18.903331287468017,-18.838963426185792,-18.67015377823655,oie
1947.5,-19.094141660021453,0.3996912420627842,-19.257105627154658,-15.27361433473995,-19.252245931106508,-19.231230085934328,-19.185172720284694,-19.097523521202362,-18.8490589069619,oie
1948,-19.377657707392697,0.4277505752853967,-19.55973103924613,-15.384821561192252,-19.554889739190884,-19.532100351419114,-19.4822129431777,-19.380259726124617,-19.05550440052332,oie
1948.5,-19.611110865642274,0.4423995925404039,-19.784495059089412,-15.497430072002771,-19.780756890214878,-19.763996379951685,-19.722489887913085,-19.627149449072654,-19.26441360476289,oie
1949,-19.87266016549208,0.46382638719927577,-20.061825199565675,-15.61172642803732,-20.057038178137958,-20.036057495310814,-19.989057225516305,-19.888089238616292,-19.483932054353957,oie
1949.5,-20.017581101895875,0.45663416744121055,-20.149755541351567,-15.728109227042042,-20.149027669644394,-20.1465257437603,-20.133370748119553,-20.072096205460827,-19.68682260881018,oie
1950,-19.936792901697515,0.4149010867804016,-20.08200651765335,-15.837025010948524,-20.03148920219189,-20.023961849703845,-20.012416339455328,-20.00242752725753,-19.77319390561411,oie
1950.5,-20.307708443430002,0.4629434549022042,-20.503193356046665,-15.950020752639627,-20.495383043095668,-20.464266352972633,-20.407002433546594,-20.324764939599394,-19.98327135413979,oie
